,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600367,红星发展,35.08,22.68,57.891000000000005,40.9075,0.5843,180.3186,2.5759
1,600250,南纺股份,15.64,1.77,9.1411,31.739,0.2392,1785.6238,13.4598
2,600338,西藏珠峰,14.16,4.28,14.6893,27.9935,0.2584,652.9884,6.0276
3,600386,北巴传媒,13.6,11.76,34.065,43.4787,0.2527,369.4878,2.1481
4,600360,华微电子,12.6,12.38,28.6797,15.379000000000001,0.2261,124.1615,1.8259
5,600306,商业城,11.13,3.17,15.0616,18.6653,0.1362,588.1761,4.2923
6,600395,盘江股份,9.6,10.79,36.8791,36.0754,0.1435,334.2088,1.3299
7,600335,国机汽车,8.27,6.97,31.625999999999998,14.2256,0.1742,203.9057,2.4979
8,600247,ST成城,6.92,12.43,42.3553,11.1693,0.1015,89.8009,0.8163
9,600363,联创光电,6.35,3.13,26.0011,11.4335,0.109,365.2544,3.4851
10,600009,上海机场,,,,,,,
11,600682,南京新百,,,,,,,
12,000010,美丽生态,,,,,,,
13,600633,浙数文化,,,,,,,
14,600779,水井坊,,-24.05,30.3942,-157.7847,,655.8504,
15,000952,广济药业,,,,,,,
16,600582,天地科技,,,,,,,
17,600770,综艺股份,,,,,,,
18,000868,安凯客车,,0.45,13.1335,2.0642,,457.8904,
19,600071,凤凰光学,,,,,,,
20,600329,中新药业,,,,,,,
21,600468,百利电气,,2.18,20.5983,8.0836,,370.1847,
22,600765,中航重机,,,,,,,
23,000678,襄阳轴承,,,,,,,
