,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600751,天海投资,38.73,10.58,17.7511,45.6669,0.0926,431.2475,0.8753
1,600617,国新能源,34.25,5.1,10.5381,6.1591,0.0368,120.7168,0.722
2,600615,丰华股份,25.49,115.62,28.739,69.6148,0.4628,60.208999999999996,0.4002
3,000039,中集集团,22.74,11.31,18.334,2051.0151,1.0168,18127.4827,8.9874
4,600309,万华化学,22.04,20.27,40.2741,328.2972,0.3868,1619.4652,1.9083
5,000066,中国长城,21.98,39.08,7.5752,395.5513,0.8627,1011.9604,2.2071
6,600022,山东钢铁,19.66,5.97,14.6698,727.2493,0.7736,12173.6725,12.9507
7,000792,盐湖股份,19.3,34.84,71.5525,271.0592,0.3531,777.9473,1.0135
8,600428,中远海特,19.2,21.37,38.0807,396.2264,0.6047,1853.8504,2.8294
9,000022,深赤湾A,18.77,38.05,71.2804,355.6479,0.7170000000000001,934.5914,1.8843
10,600792,云煤能源,17.88,13.32,30.8811,40.7164,0.3548,305.5493,2.6627
11,600875,东方电气,17.55,22.32,34.0979,262.6708,0.5837,1176.3541,2.6141
12,000951,中国重汽,16.91,2.25,7.8667,79.5959,0.3134,3529.2014,13.8958
13,600026,中远海能,16.73,37.42,47.0209,1607.5566,0.4833,4295.7158,1.2915
14,000538,云南白药,16.33,10.12,29.1385,114.76700000000001,0.3959,1133.0763,3.9088
15,600500,中化国际,16.1,5.41,10.036,456.7686,0.3631,8430.3288,6.702999999999999
16,600858,银座股份,16.0,3.38,15.7345,26.3855,0.2174,779.7067,6.4254
17,600616,金枫酒业,15.56,3.91,17.2773,81.7743,0.2684,2089.8059,6.86
18,000572,海马汽车,15.32,2.15,6.2965,40.0555,0.1855,1856.757,8.6002
19,600636,*ST爱富,15.07,8.67,21.4231,96.0685,0.3956,1107.1367,4.5595
20,600817,*ST宏盛,15.0,1.24,4.3992,32.7234,0.3304,2630.4051,26.5639
21,000933,神火股份,14.92,33.04,58.035,251.9385,1.0077,762.4475,3.0497
22,000617,中油资本,14.78,14.32,24.8163,59.0132,0.3546,411.9982,2.4759
23,600123,兰花科创,14.63,26.78,52.925,207.4148,0.5586,774.4984,2.0861
24,600096,云天化,14.61,25.13,42.1734,331.5908,0.6391,1319.2879,2.5431
25,600362,江西铜业,14.57,14.22,25.1984,982.5668,0.3688,6907.6693,2.5929
26,600320,振华重工,14.44,9.79,12.5267,568.1742,0.5529999999999999,5800.4046,5.6463
27,600331,宏达股份,14.31,11.24,33.1579,137.4101,0.3303,1222.3645,2.9383
28,600596,新安股份,14.08,8.47,30.7715,98.5141,0.4321,1162.5683,5.0992
29,002025,航天电器,13.9,35.98,64.7622,47.3412,0.4931,131.5663,1.3704
30,600508,上海能源,13.65,14.04,36.2235,262.7422,0.6543,1871.0274,4.6599
31,600886,国投电力,13.58,13.38,36.1607,203.0138,0.3602,1517.2141,2.6925
32,000731,四川美丰,13.26,22.81,31.8532,136.0385,0.5537,596.3733,2.4275
33,600432,*ST吉恩,13.24,18.56,45.9727,85.4704,0.4498,460.4092,2.4232
34,601857,中国石油,13.24,24.64,33.8775,62221.0,0.3475,252489.0,1.4103
35,000912,泸天化,13.24,12.72,31.2118,248.6774,0.425,1953.6758,3.3396
36,002024,苏宁云商,13.01,1.73,8.8785,122.9585,0.6599,7096.5161,38.0877
37,001696,宗申动力,13.01,4.68,11.41,35.5869,0.2,760.2567,4.2729
