,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600376,首开股份,29.22,28.32,44.2322,61.1096,0.5645,215.7616,1.9931
1,000619,海螺型材,26.1,22.2,23.4606,53.2512,0.71,239.799,3.1973
2,600270,外运发展,24.21,16.02,51.1844,79.4474,0.3835,495.8767,2.3936
3,000008,神州高铁,22.89,29.6,41.975,25.5962,0.3475,86.4715,1.1740000000000002
4,000502,绿景控股,22.61,114.18,48.3336,63.6965,0.4091,55.782,0.3583
5,600642,申能股份,20.84,166.87,44.8494,1083.43,0.6634,649.2596,0.3975
6,600795,国电电力,19.13,28.19,37.7006,138.4201,0.5436,490.9704,1.9284
7,000518,四环生物,18.55,35.04,36.9391,35.7284,0.2671,101.9436,0.7622
8,600037,歌华有线,18.46,53.29,67.4929,66.6584,0.3508,125.0708,0.6582
9,600779,水井坊,18.3,17.61,33.4118,123.5021,0.4545,701.0916,2.5804
10,600309,万华化学,17.32,16.71,40.3928,26.8961,0.3362,160.8888,2.0111
11,600302,标准股份,17.03,11.08,33.0893,34.4178,0.3005,310.4133,2.7109
12,600400,红豆股份,16.76,16.23,29.5591,28.0124,0.156,172.5679,0.9612
13,000682,东方电子,16.42,35.6,51.9712,217.4586,0.2368,610.6913,0.6652
14,600742,一汽富维,16.37,21.16,21.0173,92.1087,0.5027,435.2879,2.376
15,000157,中联重科,16.23,26.93,50.248000000000005,28.0106,0.2801,104.0048,1.04
16,600739,辽宁成大,16.03,22.53,16.2351,114.0358,0.4606,506.0879,2.0442
17,000525,红太阳,15.11,25.35,42.5243,35.5154,0.2403,140.0866,0.9479
18,000858,五粮液,15.07,16.11,56.7674,429.8128,0.8954,2667.6845,5.5576
19,600389,江山股份,15.0,7.19,22.6009,21.0551,0.1403,292.6445,1.9509
20,000034,神州数码,14.6,5.64,17.2722,10.9028,0.035,193.2184,0.621
21,000557,西部创业,14.55,31.94,45.2738,160.4985,0.3176,502.3796,0.9942
22,600345,长江通信,14.22,17.82,26.9216,26.9017,0.2241,150.9332,1.2577
23,600261,阳光照明,14.11,14.58,36.3298,15.6049,0.1267,106.9898,0.8687
24,600285,羚锐制药,13.93,16.58,75.4545,10.0557,0.1665,60.6371,1.0045
25,600303,曙光股份,13.87,6.67,26.7469,12.5996,0.1399,188.6868,2.0965
26,600276,恒瑞医药,13.74,11.07,51.6876,25.5569,0.1923,230.821,1.7374
27,600601,方正科技,13.64,5.6,14.5456,62.1719,0.3331,1109.6637,5.9459
28,600275,*ST昌鱼,13.5,54.35,49.5748,31.3311,0.1794,57.6465,0.3301
29,000607,华媒控股,13.49,5.64,20.3661,31.0557,0.2032,550.0719,3.6004
