,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000799,酒鬼酒,18.85,23.39,62.9391,36.5679,0.2812,156.3152,1.2024
1,000777,中核科技,11.94,9.16,28.7924,7.2759,0.1616,79.3641,1.7636
2,000816,智慧农业,8.87,5.53,14.2372,16.0286,0.1358,289.6799,2.4549
3,600098,广州发展,6.44,18.65,34.3686,60.018,0.106,321.7193,0.5684
4,000783,长江证券,6.06,7.18,25.0915,55.3119,0.0921,769.7399,1.2828
5,000868,安凯客车,6.05,6.58,13.2165,6.0676,0.0433,92.1853,0.6584
6,600111,北方稀土,5.58,29.21,48.4731,8.7243,0.0483,29.858,0.1655
7,000760,斯太尔,5.23,9.73,22.2471,6.4914,0.1206,66.6739,1.2392
8,000785,武汉中商,4.66,3.31,11.8042,13.2489,0.2411,399.8027,7.2776
9,000793,华闻传媒,4.65,24.3,30.1686,9.8771,0.0777,40.6425,0.32
10,000789,万年青,4.21,8.94,37.2001,6.9387,0.0533,77.5894,0.5968
11,600109,国金证券,3.1,1.57,8.9297,3.3181,0.0467,211.2807,2.9765
12,000069,华侨城A,2.45,15.84,22.2776,5.4986,0.0375,34.7049,0.237
13,600866,星湖科技,,,,,,,
14,000719,大地传媒,,,,,,,
15,000668,荣丰控股,,,,,,,
16,000610,西安旅游,,,,,,,
17,600108,亚盛集团,,12.77,45.7634,0.6855,0.0085,5.3674,0.067
