,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000619,海螺型材,31.49,15.66,24.4606,118.2685,0.7884,755.0491,5.0336
1,600520,中发科技,29.75,27.31,50.2803,16.8368,0.4454,61.6415,1.6307
2,600598,北大荒,16.84,31.28,71.2234,275.0276,0.235,879.0403,0.7513
3,600642,申能股份,16.46,56.8,42.1651,880.1289999999999,0.5389,1549.3758,0.9487
4,600703,三安光电,14.31,7.78,10.4197,23.7852,0.19899999999999998,305.5,2.5561
5,000858,五粮液,14.27,17.57,100.0,650.31,0.7483,3700.11,4.2576
6,600636,*ST爱富,12.77,8.41,22.6771,36.3767,0.3134,432.3705,3.7252
7,600309,万华化学,12.59,18.12,100.0,86.6359,0.3609,477.8778,1.9911
8,600608,*ST沪科,11.98,18.2,28.5517,38.8581,0.2568,213.3946,1.4107
9,600717,天津港,11.96,28.9,56.5829,199.0146,0.3016,688.6002,1.0435
10,600825,新华传媒,11.78,1.13,12.9894,26.5748,0.1722,2339.7364,15.1659
11,600567,山鹰纸业,11.28,7.84,17.7125,15.9885,0.159,203.8979,2.0288
12,600690,青岛海尔,11.17,5.85,16.8527,584.0301,0.7321,9977.5137,12.5086
13,000822,山东海化,10.96,12.84,28.0488,144.9181,0.345,1128.6114,2.6871
14,600845,宝信软件,10.85,10.43,27.1838,27.1751,0.1036,260.3268,0.9926
15,600817,*ST宏盛,10.11,2.09,8.887,13.2594,0.1606,632.7686,7.6682
16,600000,浦发银行,10.0,16.12,26.4523,821.9933,0.341,5098.7113,2.1156
17,600795,国电电力,9.45,19.84,34.9052,416.3338,0.5047,2098.0427,2.5434
18,600661,新南洋,9.41,9.82,15.8286,29.4379,0.2033,299.637,2.0703
19,600261,阳光照明,9.21,10.75,27.1604,50.23,0.4078,467.1014,3.7926
20,000629,*ST钒钛,8.81,7.16,20.7405,399.4863,0.3903,5571.8273,5.4449
21,600151,航天机电,8.57,13.54,24.5701,106.8531,0.2283,788.5929,1.6856
22,600834,申通地铁,7.99,30.48,41.3123,45.8992,0.1163,150.5517,0.3815
23,600016,民生银行,7.86,14.15,24.5602,479.6788,0.2132,3388.7631,1.5065
24,600888,新疆众和,7.79,6.12,20.2083,18.12,0.1752,295.67,2.8597
25,600380,健康元,7.79,30.7,72.6656,157.2265,0.58,512.0506,1.8889
26,600081,东风科技,7.77,7.46,17.1479,32.6609,0.1624,437.5339,2.1767
27,000011,深物业A,7.72,5.43,100.0,22.11,0.0408,406.46,0.7502
