,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600108,亚盛集团,655.52,27.8,55.0381,25.4502,0.3181,91.5398,1.1442
1,600749,西藏旅游,351.47,2.44,8.7534,18.898,0.5399,772.5210000000001,22.072
2,600758,红阳能源,206.73,4.45,13.293,35.1469,0.5728,788.7616,12.8567
3,000063,中兴通讯,189.69,41.0,64.6209,80.7126,0.4214,196.8373,1.0278
4,600096,云天化,125.85,34.57,38.4261,153.8058,0.3285,444.8077,0.95
5,000059,华锦股份,113.82,28.24,39.2194,147.6228,0.2964,522.5903,1.0493
6,600009,上海机场,109.07,70.99,81.9799,223.4536,0.3724,314.7543,0.5245
7,600060,海信电器,99.58,6.88,17.3823,79.9373,0.3996,1161.3148,5.8065
8,000738,航发控制,87.66,6.4,17.3747,0.0953,0.0003,1.4882,0.0052
9,600093,易见股份,84.38,26.29,37.4419,13.0526,0.29,49.6404,1.1031
10,600798,宁波海运,82.68,45.24,50.1202,46.0048,0.374,101.682,0.8266
11,000715,中兴商业,79.31,5.83,16.0772,60.5468,0.6727,1038.518,11.539000000000001
12,600126,杭钢股份,78.79,11.91,23.8669,244.3871,0.7758,2051.7941,6.5136
13,600106,重庆路桥,76.61,91.08,91.9423,72.1025,0.3277,79.1584,0.3598
14,600782,新钢股份,76.32,31.12,42.2495,41.8627,0.9308,134.4857,2.9905
15,000778,新兴铸管,75.71,18.81,36.1438,175.3543,0.7306,932.0156,3.8833
16,000807,云铝股份,74.96,11.79,100.0,54.6261,0.2375,463.1509,2.0136
17,000876,新希望,71.64,15.66,15.2787,35.8881,0.3588,229.1183,2.2907
18,000713,丰乐种业,70.62,32.78,51.2086,14.2275,0.2258,43.4016,0.6889
19,600776,东方通信,69.66,9.3,19.4478,165.8636,0.691,1782.5847,7.4274
20,600059,古越龙山,69.33,21.54,43.0056,48.5537,0.7469,225.3779,3.4673
21,000789,万年青,68.13,12.19,46.0043,42.6113,0.3277,349.5345,2.6887
22,600897,厦门空港,67.35,71.72,90.4398,40.2784,0.4972,56.155,0.6932
23,000619,海螺型材,66.86,21.03,59.1934,9.04,0.2739,42.971000000000004,1.3021
24,000799,酒鬼酒,65.57,20.37,59.1439,30.0899,0.2314,147.6887,1.136
25,600058,五矿发展,64.67,4.98,14.0989,161.1822,0.7163,3236.3878,14.3839
26,001896,豫能控股,64.57,23.1,42.1815,75.0071,0.2143,324.6939,0.9276
27,000687,华讯方舟,64.1,23.47,37.7606,90.4023,0.4109,385.0224,1.7501
28,000786,北新建材,63.15,21.25,38.4224,41.8555,0.27,196.9144,1.2704
29,600128,弘业股份,61.67,5.36,14.2716,47.2339,0.4054,880.3574,7.5575
30,000899,赣能股份,61.02,27.05,41.5075,87.3934,0.3901,323.0204,1.442
31,000599,青岛双星,60.05,23.02,32.0661,35.7501,0.5257,155.2962,2.2837
32,000088,盐田港,59.61,52.71,100.0,117.5676,0.2509,223.0294,0.47600000000000003
33,600081,东风科技,59.49,13.43,27.738000000000003,17.6105,0.4696,131.0837,3.4955
34,000729,燕京啤酒,59.48,22.88,84.9868,67.253,0.293,293.91200000000003,1.2804
35,600117,西宁特钢,59.32,8.66,16.9552,123.4886,0.5145,1425.4633,5.9394
36,000888,峨眉山A,56.33,56.77,75.3712,28.5367,0.3627,50.2599,0.6389
37,000797,中国武夷,56.06,10.93,19.4177,106.2475,0.5326,971.5471,4.8704
38,000728,国元证券,55.26,19.52,32.4226,101.46700000000001,0.4227,519.644,2.1651
39,600765,中航重机,54.83,26.74,57.0831,12.66,0.3506,47.338,1.3113
40,600075,新疆天业,54.65,18.46,26.0994,12.0615,0.335,65.315,1.8143
41,600055,万东医疗,54.46,21.49,37.8776,19.4054,0.5544,90.2872,2.5796
42,000863,三湘印象,53.94,19.85,45.2035,14.2884,0.3859,71.9812,1.9444
43,000816,智慧农业,53.83,7.4,17.1326,40.9124,0.3467,552.2527,4.6801
44,600068,葛洲坝,52.47,8.55,18.9235,120.9685,0.4032,1413.9796,4.7132
45,000717,韶钢松山,52.3,9.47,16.6456,171.0915,0.7128,1805.6893,7.5237
46,000625,长安汽车,51.63,7.85,17.9904,197.898,0.3909,2519.718,4.9778
47,000768,中航飞机,51.45,24.05,29.7963,57.0013,0.5181,236.9903,2.1544
48,000069,华侨城A,51.35,42.31,32.5946,56.7954,0.3878,134.2286,0.9167
49,000869,张裕A,51.25,17.87,56.1121,43.711999999999996,0.1917,244.57299999999998,1.0726
50,000779,三毛派神,50.7,11.85,37.4097,16.5229,0.29600000000000004,139.3758,2.4968
51,000839,中信国安,50.56,28.77,60.1663,75.1853,0.5012,261.3267,1.7421
52,600054,黄山旅游,50.3,29.55,77.1366,29.219,0.2585,98.8692,0.8749
53,000795,英洛华,49.8,19.37,35.2535,30.2613,0.3026,156.2045,1.5619999999999998
54,000791,甘肃电投,49.18,14.71,24.0899,22.8706,0.3749,155.398,2.5475
55,600084,中葡股份,48.99,23.39,36.4463,17.5213,0.3128,74.8777,1.3371
56,600877,*ST嘉陵,48.83,7.07,24.1159,282.8223,1.3727,3996.7184,19.3986
57,000673,当代东方,48.73,13.36,44.8912,18.9204,0.5255,141.5911,3.9330000000000003
58,600112,*ST天成,48.28,14.54,37.2773,41.0675,0.3422,282.3335,2.3527
59,600771,广誉远,47.96,9.9,30.2123,2.9542,0.0677,29.8153,0.6838
60,000400,许继电气,47.84,19.53,42.5664,55.4907,0.6305,284.0351,3.2276
61,600760,中航黑豹,47.2,12.84,23.1957,49.7575,0.8797,387.4362,6.85
62,600097,开创国际,46.97,64.52,69.9735,25.693,0.3193,39.8207,0.4949
63,000679,大连友谊,46.63,11.07,47.7712,55.2119,0.7361,498.4076,6.6454
64,600088,中视传媒,45.63,70.13,93.0523,45.6592,0.3869,65.1066,0.5517
65,600884,杉杉股份,45.46,16.28,45.815,29.0932,0.5738,178.6291,3.5232
66,000818,方大化工,45.02,11.82,20.0348,60.5345,0.2421,512.0164,2.048
67,600100,同方股份,45.02,24.52,84.7443,25.721,0.3743,104.8736,1.5265
68,600098,广州发展,44.01,8.88,15.4624,213.4787,0.3771,2403.3768,4.2462
69,600104,上汽集团,43.66,27.89,48.5356,238.5444,0.3407,855.2974,1.2218
70,600792,云煤能源,43.09,15.47,30.2819,8.6207,0.2394,55.7048,1.5473
71,000796,凯撒旅游,43.03,2.88,6.1339999999999995,7.2275,0.11599999999999999,250.6175,4.0235
72,000702,正虹科技,42.98,7.97,15.0344,28.0097,0.3493,351.1469,4.3794
73,600138,中青旅,42.95,11.73,23.4001,35.7303,0.3573,304.3587,3.0435
74,000836,鑫茂科技,42.83,25.2,36.1914,8.008,0.1256,31.7713,0.4983
75,000800,一汽轿车,42.45,4.61,20.8438,310.324,0.4137,6724.706,8.9662
76,000606,神州易桥,42.39,15.81,47.5722,2.6036,0.0713,16.4622,0.451
77,600080,金花股份,42.19,61.03,75.7327,5.0761,0.1015,8.3172,0.1663
78,000598,兴蓉环境,41.99,30.83,48.6692,8.3357,0.2083,27.0305,0.6757
79,000761,本钢板材,41.52,7.58,10.073,334.8384,0.5435,4413.5109,7.1647
80,600839,四川长虹,41.42,16.54,100.0,707.2230000000001,2.9737,4273.9808,17.9715
81,600057,象屿股份,41.36,4.2,13.2422,16.6869,0.2383,396.4851,5.664
82,600720,祁连山,41.35,9.84,40.2701,12.686,,128.8889,
83,600113,浙江东日,41.27,117.68,97.1128,33.0754,0.424,28.1055,0.3603
84,600734,实达集团,41.17,12.3,100.0,32.102,0.321,260.95099999999996,2.6095
