,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,002168,深圳惠程,88.23,11.8,23.4001,2.4378,0.0657,20.6578,0.5572
1,000034,神州数码,79.2,65.27,12.2072,271.4793,0.8725,415.8871,1.3366
2,600271,航天信息,76.46,19.12,37.3025,151.3759,1.2614,791.5645,6.5963
3,600460,士兰微,67.96,36.02,35.8849,68.1898,0.9089,189.2927,2.5232
4,600380,健康元,63.93,24.31,72.9502,164.7906,0.6079,677.7522,2.5001
5,600355,精伦电子,59.97,31.52,62.0927,60.6489,0.659,192.4102,2.0909
6,600519,贵州茅台,56.55,22.54,82.3283,251.1036,1.3573,1114.0008,6.0216
7,600521,华海药业,53.28,25.25,52.4745,34.3488,0.5284,136.0058,2.0923
8,600535,天士力,53.0,20.3,78.7476,79.5304,0.568,391.6179,2.7972
9,000540,中天金融,52.89,107.14,39.4769,229.4776,1.1936,214.1683,1.114
10,600565,迪马股份,50.5,8.97,25.1931,33.2923,0.5548,371.1342,6.1855
11,600446,金证股份,49.68,13.87,34.4957,25.7736,0.5081,185.7317,3.6619
12,600588,用友网络,47.75,18.8,93.3696,40.0429,0.5339,212.8853,2.8384
13,600571,信雅达,46.61,17.67,47.3483,19.3053,0.4771,109.2424,2.7
14,600403,*ST大有,46.46,24.5,51.408,14.3834,0.3524,58.69,1.4379
15,600321,国栋建设,43.5,19.16,32.2909,63.5221,0.3625,331.4084,1.8916
16,600485,信威集团,42.38,30.37,68.5803,16.436,0.3266,54.1157,1.0755
17,600520,中发科技,41.64,25.26,50.6877,16.5548,0.4379,65.5333,1.7336
18,600367,红星发展,40.54,20.25,56.1504,51.103,0.73,252.3098,3.6044
19,600570,恒生电子,39.67,6.56,20.7017,22.7365,0.4458,346.3074,6.7903
20,000619,海螺型材,37.95,17.68,19.3085,97.6558,0.6509999999999999,552.1298,3.6808
21,600499,科达洁能,37.72,16.37,28.1646,17.5823,0.498,107.3842,3.042
22,600436,片仔癀,35.41,27.21,64.3555,50.0531,0.5005,183.9215,1.8392
23,600031,三一重工,35.35,15.26,46.803000000000004,59.9507,0.33299999999999996,392.6111,2.1811
24,600418,江淮汽车,34.63,4.55,12.2612,81.6549,0.5443,1793.6428,11.9576
25,000557,西部创业,34.55,45.94,64.1747,417.6464,0.8265,908.9887,1.7990000000000002
26,600586,金晶科技,34.17,18.37,33.8788,34.685,0.5607,188.7548,3.0518
27,600593,大连圣亚,33.96,34.6,72.4225,22.6044,0.3767,65.317,1.0886
28,000682,东方电子,33.89,34.39,47.0322,472.9657,0.5152,1375.0178,1.4979
29,600375,华菱星马,33.66,4.94,15.134,12.3764,0.23199999999999998,250.4719,4.697
30,600327,大东方,33.53,3.34,13.6248,28.6815,0.4175,856.7928,12.4733
31,600536,中国软件,33.29,11.87,31.4743,20.2228,0.3733,170.2573,3.1428
32,600037,歌华有线,33.23,47.13,61.4555,109.2154,0.5748,231.7262,1.2196
33,600376,首开股份,32.96,20.72,37.1249,72.7516,0.672,350.9622,3.2421
34,600582,天地科技,32.56,18.43,35.8943,24.1217,0.4824,130.8647,2.6172
35,600330,天通股份,32.53,19.93,42.2146,50.1977,0.3281,251.8449,1.6462
36,600651,飞乐音响,32.43,28.94,36.8967,79.8029,0.5405,275.7157,1.8675
37,600487,亨通光电,32.39,11.05,31.5695,44.348,0.4866,401.1895,4.4028
38,600642,申能股份,31.81,106.95,39.2896,1523.0403,0.9326,1423.9719,0.8719
39,600361,华联综超,31.21,3.23,15.5975,31.5423,0.4173,975.4156,12.9069
40,600540,*ST新赛,31.19,14.29,22.2686,49.8626,0.4986,348.7091,3.487
41,600660,福耀玻璃,31.02,19.87,39.1391,150.0342,0.589,754.9992,2.9639
42,600488,天药股份,30.97,13.22,26.6212,65.5835,0.6305,496.0222,4.769
43,600580,卧龙电气,30.57,15.85,34.9293,26.6517,0.3596,168.0933,2.2683
44,600481,双良节能,28.82,17.3,48.1331,65.6448,0.2904,379.3223,1.6784
45,600577,精达股份,28.43,5.23,19.1696,14.4889,0.3622,276.9647,6.9241
46,600555,海航创新,28.35,13.28,26.5977,185.1713,0.5238,1394.2423,3.9441
47,600030,中信证券,28.11,49.57,62.3513,1129.4989,0.5426,2278.3259,1.0945
48,600537,亿晶光电,28.11,17.46,35.9228,35.3855,0.3095,202.5786,1.7721
49,600530,交大昂立,28.09,10.55,71.278,50.6159,0.3374,479.3582,3.1957
