,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600104,上汽集团,39.1,29.02,43.7605,272.2007,0.3888,937.9189,1.3398
1,000799,酒鬼酒,29.44,33.24,100.0,76.3052,0.5869,229.5106,1.7654
2,600105,永鼎股份,21.98,16.24,24.8306,28.9854,0.2147,178.4186,1.3216
3,000876,新希望,21.41,13.96,18.7031,27.2625,0.2725,195.2444,1.952
4,600795,国电电力,20.55,33.97,100.0,27.8522,0.3413,81.9719,1.0045
5,000651,格力电器,20.48,6.93,100.0,142.9318,0.9528,2061.1789,13.7411
6,600745,中茵股份,20.45,31.45,100.0,40.2577,0.3812,127.9902,1.2122
7,600854,春兰股份,19.61,14.52,100.0,158.2838,1.1991,1089.576,8.2543
8,600886,国投电力,18.92,9.88,100.0,62.8938,0.5134,636.0226,5.192
9,600887,伊利股份,18.81,8.79,100.0,38.8127,0.3868,441.4273,4.3998
10,000819,岳阳兴长,18.8,31.55,100.0,25.9347,0.4987,82.2013,1.5807
11,600702,沱牌舍得,18.28,26.25,100.0,105.6741,0.4012,402.5147,1.5282
12,600121,*ST郑煤,18.27,34.1,47.5173,72.5208,0.3296,212.623,0.9664
13,000729,燕京啤酒,18.04,12.84,100.0,77.6437,0.3382,604.4309,2.6333
14,000609,绵石投资,17.39,52.59,100.0,35.1314,0.4741,66.7966,0.9014
15,000021,深科技,17.08,17.75,100.0,162.9785,0.3068,918.1131,1.7288
16,600769,祥龙电业,16.99,32.43,100.0,40.0954,0.239,123.6316,0.7372
17,000670,盈方微,16.83,12.91,100.0,44.3386,0.341,343.4315,2.6417
18,000868,安凯客车,16.67,9.99,100.0,18.8294,0.1344,188.4535,1.3459999999999999
19,000797,中国武夷,16.52,8.55,100.0,65.8293,0.33,769.086,3.8554
20,600736,苏州高新,16.45,37.85,100.0,50.3241,0.3494,132.9371,0.9231
21,000623,吉林敖东,16.42,30.91,100.0,47.7711,0.5559,154.5231,1.7984
22,600108,亚盛集团,16.4,28.29,100.0,25.6373,0.3204,90.6141,1.1326
23,600727,鲁北化工,16.3,47.91,39.5277,63.2222,0.3161,131.9448,0.6597
24,000816,智慧农业,16.08,5.41,100.0,31.5448,0.2673,582.4811,4.9362
25,600839,四川长虹,15.86,15.48,100.0,930.5667,0.7192,6010.941,4.6461
26,000596,古井贡酒,15.55,21.17,100.0,140.1442,0.5963,661.7045,2.8157
27,000636,风华高科,15.43,25.12,39.525,43.5391,0.4069,173.2833,1.6194
28,000682,东方电子,15.12,41.77,100.0,35.2852,0.2583,84.4735,0.6184
29,000001,平安银行,14.9,33.76,34.5729,443.7381,0.4289,1314.0083,1.2701
30,000655,金岭矿业,14.76,15.78,100.0,21.2032,0.2276,134.2858,1.4418
31,600898,三联商社,14.61,1.92,100.0,53.7793,0.3997,2790.3475,20.7423
32,000703,恒逸石化,14.58,23.03,100.0,26.7171,0.3258,115.9913,1.4145
33,000571,新大洲A,14.47,13.77,100.0,109.8628,0.2313,797.4718,1.6793
34,000869,张裕A,14.31,16.2,55.0629,31.623,0.1386,195.097,0.8556
35,600751,天海投资,14.2,43.19,100.0,87.7782,0.3767,203.2095,0.8721
36,000419,通程控股,14.07,9.44,100.0,28.5225,0.2793,301.8414,2.9563
37,600760,中航黑豹,14.07,24.28,100.0,63.4483,0.4532,261.2461,1.8659999999999999
38,600742,一汽富维,13.87,12.99,100.0,35.0536,0.3218,269.7375,2.4769
39,600734,实达集团,13.81,9.25,100.0,59.0941,0.20199999999999999,638.4707,2.1828
40,600320,振华重工,13.74,12.58,100.0,56.9502,0.2423,452.6166,1.926
41,000568,泸州老窖,13.74,23.24,100.0,97.5621,0.2999,419.6299,1.29
42,600777,新潮能源,13.57,28.2,100.0,20.4293,0.306,72.4245,1.0851
43,000863,三湘印象,13.46,17.81,34.929,5.5399,0.1496,31.099,0.84
44,000683,远兴能源,13.41,38.65,100.0,86.4417,0.201,223.6397,0.52
45,600707,彩虹股份,13.37,12.65,100.0,86.5661,0.2404,683.8164,1.8994
46,000518,四环生物,13.34,14.86,100.0,27.7298,0.2073,186.5839,1.395
47,000760,斯太尔,13.19,12.42,22.5893,17.8693,0.3321,143.7801,2.6724
48,600095,哈高科,13.08,21.19,100.0,25.3705,0.3171,119.7243,1.4965
49,600739,辽宁成大,13.04,8.71,100.0,41.0482,0.5092,471.2578,5.8468
50,600730,中国高科,12.67,40.7,100.0,40.5591,0.2322,99.6408,0.5706
51,600728,佳都科技,12.53,14.5,100.0,32.2567,0.2054,222.4018,1.4165
52,000795,英洛华,12.49,17.13,100.0,17.166,0.1716,100.1802,1.0018
53,600757,长江传媒,12.35,17.72,100.0,45.0325,0.2501,254.0268,1.4112
54,000026,飞亚达A,12.21,24.12,100.0,48.5498,0.3505,201.2287,1.4528
55,000637,茂化实华,12.16,13.65,100.0,30.3937,0.302,222.5921,2.2122
56,600690,青岛海尔,11.96,7.45,100.0,123.1906,0.3772,1652.7313,5.0614
57,000632,三木集团,11.94,14.18,100.0,26.1558,0.2038,184.4533,1.4378
58,600638,新黄浦,11.85,36.13,100.0,113.3638,0.2506,313.7497,0.6936
59,600884,杉杉股份,11.85,11.34,100.0,38.7102,0.4544,341.2791,4.0067
60,000059,华锦股份,11.74,21.75,100.0,153.8975,0.2502,707.3602,1.1501
61,000783,长江证券,11.72,7.65,,113.76,0.1896,1486.0317,2.4767
62,600828,茂业商业,11.68,6.87,100.0,32.126999999999995,0.2505,467.5805,3.6458
63,600718,东软集团,11.61,27.04,100.0,24.7808,0.2503,91.6166,0.9254
64,600755,厦门国贸,11.47,5.0,100.0,49.7609,0.4556,993.414,9.0971
65,600107,美尔雅,11.23,16.8,26.6849,46.17100000000001,0.2308,274.8268,1.3741
66,000802,北京文化,11.16,17.99,41.9192,12.0308,0.1604,66.8561,0.8914
67,000726,鲁泰A,11.13,13.43,26.9583,19.2947,0.2464,143.6331,1.8343
68,000422,湖北宜化,11.11,22.45,36.9294,29.5732,0.3015,131.70600000000002,1.3428
69,000559,万向钱潮,11.11,15.21,100.0,48.5885,0.3096,319.2999,2.035
70,600759,洲际油气,11.08,867.39,100.0,41.7734,0.3204,4.816,0.0369
71,600743,华远地产,11.08,32.36,100.0,32.0397,0.2002,99.0057,0.6187
72,600776,东方通信,11.03,7.9,100.0,193.2277,0.5084,2445.6906,6.436
73,000676,智度股份,10.99,65.0,100.0,13.6372,0.2727,20.9793,0.4195
74,600810,神马股份,10.91,16.21,100.0,90.5784,0.3431,558.4730000000001,2.1154
75,000898,鞍钢股份,10.9,7.84,14.8873,248.265,0.1882,3164.4429999999998,2.3991
76,600737,中粮糖业,10.73,31.39,100.0,23.6216,0.2812,75.2476,0.8958
77,000027,深圳能源,10.72,23.98,100.0,147.518,0.3254,615.1627,1.357
78,000428,华天酒店,10.7,35.42,100.0,33.166,0.2303,93.6191,0.6501
79,600895,张江高科,10.67,48.34,100.0,37.6664,0.2511,77.9074,0.5193
80,000039,中集集团,10.67,6.05,100.0,99.7558,0.3818,1647.8788,6.307
81,000421,南京公用,10.53,41.92,100.0,17.0415,0.2616,40.6482,0.624
82,600713,南京医药,10.49,8.76,100.0,24.9611,0.3006,284.7269,3.4297
83,000766,通化金马,10.43,43.92,100.0,56.9234,0.4507,129.5868,1.0261
84,000589,黔轮胎A,10.43,9.61,100.0,46.4212,0.2303,482.7018,2.3951
85,000055,方大集团,10.42,32.12,100.0,75.6478,0.3151,235.4879,0.9811
86,600741,华域汽车,10.4,16.74,100.0,22.6782,0.218,135.4224,1.3021
87,000688,建新矿业,10.38,39.06,100.0,21.2244,0.2967,54.3277,0.7595
88,600729,重庆百货,10.36,6.25,100.0,39.7256,0.1947,635.13,3.1133
89,000673,当代东方,10.34,19.88,100.0,18.4374,0.3615,92.7106,1.8178
90,600796,钱江生化,10.28,15.18,100.0,12.1923,0.2435,80.2917,1.6038
91,000627,天茂集团,10.27,21.3,100.0,22.91,0.2219,107.5583,1.0417
92,600119,长江投资,10.25,8.92,14.9889,14.0772,0.1656,157.6909,1.8551
93,000016,深康佳A,10.19,6.93,100.0,164.6011,0.4502,2373.008,6.4912
94,000630,铜陵有色,10.13,5.52,100.0,35.0802,0.2505,634.7806,4.5341
95,600101,明星电力,10.09,33.35,100.0,20.1244,0.3255,60.3316,0.9758
96,000570,苏常柴A,10.09,9.78,100.0,139.4514,0.3961,1424.5955,4.0471
97,000023,深天地A,10.07,39.29,100.0,27.5626,0.2398,70.1516,0.6104
98,000050,深天马A,10.0,17.79,100.0,18.5178,0.2229,104.0713,1.2531
99,000622,恒立实业,9.98,13.57,100.0,13.1756,0.2111,97.0656,1.5555
100,600628,新世界,9.97,3.78,100.0,35.7054,0.2494,943.8901,6.5954
101,000720,新能泰山,9.92,22.84,100.0,56.1263,0.4009,245.69400000000002,1.7549
102,000037,深南电A,9.78,23.69,100.0,59.9265,0.3026,252.9282,1.2774
103,600052,浙江广厦,9.75,8.22,100.0,42.1573,0.3011,512.3141,3.6593
104,000727,华东科技,9.72,20.04,100.0,42.5792,0.3024,212.4413,1.5089
105,600653,申华控股,9.71,43.14,100.0,51.81100000000001,0.2894,120.09299999999999,0.6708
106,000705,浙江震元,9.66,11.03,100.0,16.8965,0.3058,153.1547,2.772
107,000516,国际医学,9.63,4.64,100.0,15.9099,0.2379,342.2001,5.118
108,000557,西部创业,9.6,14.27,100.0,34.1167,0.1664,238.9346,1.166
109,600662,强生控股,9.59,20.82,100.0,41.896,0.1714,201.1389,0.8233
110,000488,晨鸣纸业,9.58,24.21,,96.2336,0.3514,397.4464,1.4512
111,600782,新钢股份,9.53,22.78,100.0,15.1798,0.2531,66.6322,1.111
