,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000403,ST生化,15990.29,34.9,28.0996,202.0077,0.9542,578.8009,2.7342
1,600734,实达集团,839.6,9.71,22.4259,130.0273,0.3698,1338.7729,3.8081
2,000631,顺发恒业,585.83,,,199.7488,0.6459999999999999,0.0,0.0
3,000638,万方发展,354.61,19.28,23.1329,72.2564,0.467,374.5957,2.4214
4,000038,深大通,221.26,,,154.1963,1.704,0.0,0.0
5,002563,森马服饰,95.17,13.34,29.5201,443.4154,0.7390000000000001,3322.6999,5.5378
6,002653,海思科,90.75,54.37,69.4818,195.0867,0.5419,358.7625,0.9965
7,600369,西南证券,88.11,164.33,9.6362,53.1439,0.217,32.3384,0.132
8,601618,中国中冶,87.0,2.03,11.4316,3117.9688,0.2398,153571.4918,11.8131
9,300316,晶盛机电,85.58,45.32,48.5981,79.8717,0.7987,176.2153,1.7621
10,300326,凯利泰,83.4,58.31,78.2046,13.5936,,23.3114,
11,002612,朗姿股份,78.61,16.91,50.8178,37.6452,0.2509,222.6176,1.4841
12,300165,天瑞仪器,76.74,38.74,69.4582,47.1849,0.8501,121.7766,2.1941
13,300309,吉艾科技,71.34,64.88,73.7752,38.6956,,59.6389,
14,300122,智飞生物,71.16,32.19,63.6049,190.0513,0.5279,590.3357,1.6398
15,601558,*ST锐电,70.99,12.25,16.863,630.6093,0.7006,5146.0649,5.7178
16,300266,兴源环境,68.7,10.76,28.2029,15.7979,0.3761,146.7041,3.4929
17,300183,东软载波,68.07,44.75,65.7903,57.6438,0.7685,128.7999,1.7173
18,600139,西部资源,67.39,43.02,48.0495,82.9777,0.6858,192.8539,1.5941
19,300223,北京君正,65.13,31.85,51.0518,46.1336,0.7688,144.8422,2.414
20,002468,申通快递,64.31,15.5,14.231,151.9101,1.2659,979.7539,8.1646
21,002706,良信电器,63.94,13.66,37.9691,35.8827,,262.5907,
22,300146,汤臣倍健,63.17,18.82,60.2934,26.705,0.6513,141.8575,3.4599
23,002416,爱施德,63.07,5.47,16.7321,399.8057,0.9018,7299.7384,16.4668
24,300136,信维通信,62.02,32.1,51.3715,18.3934,0.3678,57.2909,1.1458
25,601515,东风股份,61.62,42.56,46.2258,507.8029,1.0156,1192.9947,2.3859
26,300113,顺网科技,59.83,51.26,92.9342,18.1263,0.4028,35.3554,0.7856
27,300532,今天国际,59.69,14.76,36.8214,12.1118,,82.0459,
28,300232,洲明科技,58.89,7.0,17.2063,16.5755,0.2871,236.6768,4.1004
29,300001,特锐德,58.64,22.58,35.5193,61.1922,0.6119,270.9784,2.7097
30,300220,金运激光,57.74,30.15,36.7402,18.0432,0.6939,59.8425,2.3016
31,000529,广弘控股,57.5,204.41,0.7817,337.5824,0.8513,165.1463,0.4164
32,600800,天津磁卡,57.03,85.21,17.3085,187.5818,0.34,220.1302,0.39899999999999997
33,600745,中茵股份,56.98,20.42,21.9408,157.5191,0.4811,771.1139,2.3554
34,002415,海康威视,56.6,31.49,50.8446,548.8458,1.2196,1742.4714,3.8721
