,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600812,华北制药,215.58,180.96,100.0,1297.762,2.1995,717.1261,1.2154
1,600854,春兰股份,79.16,13.65,29.4931,96.836,1.0759,709.15,7.8794
2,600826,兰生股份,73.15,3.35,8.9508,73.5494,0.693,2193.7507,20.6703
3,000592,平潭发展,66.45,17.92,21.8129,24.763,0.2145,138.1157,1.1968
4,000048,康达尔,63.55,8.85,8.5389,28.3549,0.4648,320.3853,5.2522
5,600890,中房股份,58.75,19.53,100.0,35.4258,0.3148,181.3749,1.6122
6,600827,百联股份,57.14,7.58,15.4882,23.1743,0.7724,305.4338,10.1811
7,000589,黔轮胎A,57.12,5.32,31.471,21.0589,0.1776,395.7141,3.3379
8,600867,通化东宝,56.38,35.04,70.15100000000001,34.1198,0.6318,97.3621,1.8030000000000002
9,000502,绿景控股,54.88,38.58,52.8281,50.0041,0.8145,129.5974,2.1109
10,600863,内蒙华电,53.87,9.26,100.0,25.0177,0.0691,269.89599999999996,0.7455
11,600835,上海机电,49.38,10.4,19.5017,80.44,0.4553,773.37,4.3779
12,000006,深振业A,48.76,41.65,52.6279,45.0581,1.2715,108.1658,3.0524
13,600690,青岛海尔,47.51,10.01,23.2671,59.0008,0.4916,588.9608,4.908
14,000599,青岛双星,46.12,15.55,38.6707,9.0649,0.1333,58.2766,0.857
15,000505,*ST珠江,44.42,50.13,59.28,54.0644,0.6602,107.8434,1.317
16,000046,泛海控股,44.11,26.99,39.8953,18.824,0.4826,69.72,1.7876
17,000030,富奥股份,43.76,15.65,17.1916,63.9826,0.2928,408.6856,1.8704
18,000528,柳工,41.15,14.54,32.9655,75.6422,0.3782,520.2191,2.6010000000000004
19,600846,同济科技,39.65,25.45,25.4577,10.067,0.2714,39.544000000000004,1.0662
20,600871,石化油服,39.43,16.14,100.0,682.14,0.2006,4226.3240000000005,1.2429999999999999
21,000504,*ST生物,38.9,38.4,48.6717,67.8351,0.6273,176.6272,1.6333
22,000021,深科技,36.65,9.47,12.2259,57.6575,0.2803,608.6351,4.0127
23,600815,*ST厦工,36.39,9.22,25.9191,39.9982,0.3422,433.4276,3.7083
