,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600818,中路股份,42.89,25.81,14.0997,57.3522,0.2158,222.1394,0.8361
1,600083,博信股份,31.84,4.54,32.9672,4.1491,0.018000000000000002,91.2749,0.3968
2,000416,民生控股,31.61,36.95,70.8717,98.6315,0.5103,266.8751,1.3809
3,600565,迪马股份,25.08,9.47,22.9657,24.2268,0.4037,255.8175,4.2636
4,600577,精达股份,17.12,6.04,19.6999,14.0879,0.3521,232.9895,5.8247
5,600057,象屿股份,16.97,6.56,31.0453,85.4116,0.2384,1300.7951,3.6314
6,600597,光明乳业,16.88,4.15,36.9932,95.5453,0.1906,2300.2666,4.5896
7,600535,天士力,16.61,13.03,79.2558,47.5939,0.3399,365.1488,2.6082
8,600499,科达洁能,16.56,14.51,25.8352,15.1762,0.4299,104.5313,2.9612
9,000546,金圆股份,16.43,5.89,36.9226,4.7372,0.0279,80.3924,0.4742
10,600507,方大特钢,15.53,8.96,14.7167,22.3088,0.2974,248.8162,3.3175
11,600458,时代新材,14.61,16.58,47.5254,12.3754,0.2467,74.6385,1.4883
12,000402,金融街,14.54,23.04,30.4111,58.9718,0.4683,255.9074,2.0325
13,001696,宗申动力,14.43,3.95,14.0749,4.7159,0.0344,119.2243,0.8711
14,000088,盐田港,13.87,103.85,53.5592,240.9766,0.4119,232.0246,0.3966
15,000037,深南电A,13.86,22.07,33.7785,146.3924,0.2671,663.0614,1.21
16,000035,中国天楹,13.83,2.25,10.2844,32.0391,0.2764,1422.0681,12.2711
17,600571,信雅达,13.02,19.79,54.1984,9.5392,0.2357,48.18,1.1908
18,600256,广汇能源,12.98,12.66,20.4277,123.1022,0.2046,971.7072,1.6156
19,600660,福耀玻璃,12.89,17.71,39.9399,82.4501,0.1822,465.4357,1.0288
20,600586,金晶科技,12.64,12.81,27.8409,21.3349,0.3449,166.5048,2.6919999999999997
21,600549,厦门钨业,12.54,10.79,26.9942,29.371,0.3263,272.1043,3.0233
22,600309,万华化学,12.45,21.16,34.5702,93.0399,0.2422,439.5491,1.1446
23,600557,康缘药业,12.13,8.63,74.4706,10.0131,0.1933,116.0107,2.2395
24,600576,万家文化,11.99,6.83,16.1594,26.8322,0.2001,392.3436,2.9259
25,600177,雅戈尔,11.73,20.8,43.6776,248.7874,0.4379,1196.0017,2.1052
26,000032,深桑达A,11.71,4.38,9.044,35.2363,0.2693,803.9155,6.1455
27,600561,江西长运,11.71,21.53,31.7918,14.4714,0.2302,67.1955,1.0689
28,600525,长园集团,11.41,17.71,55.2752,15.3028,0.2052,86.4046,1.1591
29,000680,山推股份,11.39,6.82,22.0767,77.2866,0.2733,1131.876,4.0035
30,000027,深圳能源,11.22,16.52,34.8142,327.2236,0.3265,1980.5354,1.9764
31,600351,亚宝药业,11.2,11.09,56.9007,10.9234,0.1456,98.4625,1.3128
