,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000009,中国宝安,302.24,62.32,100.0,323.2362,0.9416,518.6061,1.5107
1,600820,隧道股份,248.83,5.82,10.1282,10.349,0.187,177.544,3.2089999999999996
2,600657,信达地产,34.94,32.92,16.1376,44.617,0.9405,135.4963,2.8564
3,600846,同济科技,31.06,42.76,41.511,14.8351,0.4,34.692,0.9354
4,000006,深振业A,30.27,39.78,100.0,48.3113,1.0487,121.4423,2.6362
5,600678,四川金顶,29.27,49.28,100.0,89.4846,0.7794,181.555,1.5814
6,600819,耀皮玻璃,28.91,41.07,64.5346,108.64399999999999,0.41700000000000004,264.486,1.0153
7,600835,上海机电,26.7,9.3,17.5319,54.43,0.3081,585.22,3.3128
8,600641,万业企业,24.77,72.7,52.8551,34.8974,0.4705,47.9983,0.6472
9,000551,创元科技,22.47,4.09,3.205,9.5918,0.2131,233.9784,5.1995
10,600826,兰生股份,21.04,4.56,16.7594,27.3855,0.258,599.9364,5.6528
11,600801,华新水泥,18.91,17.97,100.0,23.798000000000002,0.1737,132.361,0.9661
12,600640,号百控股,17.48,28.75,42.1689,45.9204,0.6559999999999999,159.6961,2.2813
13,600660,福耀玻璃,17.2,25.1,48.0083,23.5606,0.2746,93.8608,1.0941
14,000030,富奥股份,16.93,39.42,100.0,55.78,0.2552,141.48,0.6475
15,000032,深桑达A,16.63,15.18,19.9924,18.4549,0.1862,121.5486,1.2265
16,600617,国新能源,13.63,35.53,43.9228,26.2145,0.2397,73.7749,0.6747
17,000523,广州浪奇,13.51,6.68,23.7689,17.9376,0.2207,268.4233,3.3026
18,600674,川投能源,13.15,13.31,25.7353,26.8793,0.1735,201.8402,1.3032
19,600638,新黄浦,12.83,19.07,27.5681,34.7652,0.4332,182.2766,2.2717
20,600664,哈药股份,12.59,6.57,33.5843,65.04899999999999,0.2574,989.591,3.917
21,600600,青岛啤酒,12.1,11.81,30.9187,68.9157,0.1428,583.1119,1.2087
22,600648,外高桥,11.78,23.06,100.0,42.0113,0.15,182.1507,0.6505
23,600662,强生控股,10.9,42.33,53.6626,3.8767,0.2153,9.1565,0.5086
24,000007,全新好,10.85,17.06,100.0,14.9492,0.3451,87.6197,2.0227
25,600668,尖峰集团,10.84,15.9,36.9125,12.1057,0.1716,76.1121,1.0789
26,600611,大众交通,10.77,67.07,56.6688,27.2368,0.2696,40.6077,0.402
27,600666,奥瑞德,10.55,11.31,28.145,7.9359,0.1209,70.1533,1.0691
28,600673,东阳光科,9.48,15.93,46.2157,12.6318,0.1756,79.27199999999999,1.102
29,600644,乐山电力,9.47,63.66,43.8313,8.2631,0.1603,12.9784,0.2518
30,000563,陕国投A,9.1,62.53,62.4567,17.2643,0.1506,27.6062,0.2408
31,600651,飞乐音响,8.92,17.55,20.0121,3.8767,0.3876,22.087,2.2087
32,600620,天宸股份,8.4,9.22,7.4927,8.5435,0.1802,92.5893,1.9534
33,600663,陆家嘴,8.33,,,71.4578,0.0999,0.0,0.0
34,600604,市北高新,8.28,16.42,35.5391,81.2592,0.1909,494.6023,1.1621
35,600633,浙数文化,7.83,10.11,27.4925,22.78,0.2471,225.1189,2.4424
36,600634,富控互动,7.78,8.7,8.1057,2.8239,0.184,32.4571,2.1156
37,600848,上海临港,7.6,3.98,41.7368,14.1819,0.0892,355.9123,2.2404
