,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600655,豫园商城,35.68,2.71,12.1769,3.9852,0.3529,146.626,12.9867
1,600604,市北高新,13.95,11.4,31.8523,19.6403,1.0973,172.1746,9.6193
2,600651,飞乐音响,11.14,4.36,23.0574,0.2513,7.6149,5.7564,174.4366
3,600602,云赛智联,8.63,10.4,14.7877,25.15,12.575,241.66099999999997,120.8305
4,600606,绿地控股,5.68,5.22,31.2532,3.3698,0.47700000000000004,64.4866,9.1299
5,600603,广汇物流,5.36,28.78,30.4825,0.4083,0.2041,1.4187,0.7093
6,600652,游久游戏,4.73,2.52,14.9688,0.0292,0.7304,1.1572,28.9304
7,600653,申华控股,3.22,5.86,9.7936,0.2777,0.5554,4.7326,9.4651
8,600608,*ST沪科,3.09,3.45,20.590999999999998,0.7299,0.2021,21.1435,5.8559
9,600605,汇通能源,2.87,3.34,31.5809,4.4682,0.2705,133.4269,8.0786
10,600601,方正科技,1.96,8.68,22.1985,0.3091,0.3091,3.5611,3.5610000000000004
11,600654,*ST中安,1.34,1.1,6.9687,0.3404,1.6203,30.9158,147.1482
12,600609,金杯汽车,1.23,1.17,8.6017,11.460999999999999,0.1824,973.215,15.4893
13,000002,万科A,,,,,,,
