,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600188,兖州煤业,123.19,20.65,57.5806,745.6106,0.4464,3608.9852,2.161
1,000927,一汽夏利,111.92,10.46,29.4244,512.936,0.4162,4903.528,3.9796
2,600007,中国国贸,98.71,56.09,76.8761,539.645,0.8431,961.9780000000001,1.5030000000000001
3,000858,五粮液,98.1,19.84,56.8686,259.9393,1.083,1309.6969,5.457000000000001
4,000836,鑫茂科技,80.22,39.72,44.8598,36.1768,0.5674,91.0795,1.4285
5,000063,中兴通讯,76.32,31.99,62.0858,99.0567,0.5172,309.5537,1.6164
6,600159,大龙地产,72.1,24.68,46.9482,67.4091,0.5617,273.039,2.2753
7,000912,泸天化,68.83,18.58,31.5345,150.5676,0.5018,810.0210000000001,2.7
8,000899,赣能股份,66.84,26.93,42.0966,124.9208,0.5576,463.79900000000004,2.0705
9,000750,国海证券,63.86,37.79,62.4982,34.515,0.406,91.3313,1.0744
10,600104,上汽集团,61.74,27.34,45.5152,429.8479,0.614,1571.975,2.2456
11,600206,有研新材,59.57,22.13,30.0622,32.8856,0.41100000000000003,148.5817,1.8572
12,600121,*ST郑煤,58.69,26.64,37.957,114.925,0.5223,431.2878,1.9603
13,600009,上海机场,58.5,64.35,81.2544,300.6157,0.501,467.1211,0.7785
14,000917,电广传媒,57.9,46.48,58.8196,49.0017,0.4537,105.4175,0.976
15,000876,新希望,56.85,13.25,19.331,56.8657,0.5685,428.9547,4.2886
16,000913,*ST钱江,56.44,7.89,21.563000000000002,79.0102,0.4051,1000.232,5.1293
17,600097,开创国际,54.59,38.23,45.7086,43.9211,0.5459,114.8701,1.4278
18,000888,峨眉山A,53.71,56.66,74.617,42.2796,0.5374,74.6088,0.9484
19,600111,北方稀土,52.92,18.12,32.3217,45.1063,0.2501,248.8953,1.38
20,600227,赤天化,52.84,8.38,21.3839,47.1896,0.4718,562.5955,5.6259
21,000936,华西股份,51.56,14.16,23.4754,30.6657,0.292,216.5378,2.0622
22,000778,新兴铸管,51.52,15.61,25.3908,143.0909,0.5962,916.2722,3.8178
