,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000951,中国重汽,26.35,2.58,11.8253,75.7044,0.298,2928.3977,11.5302
1,000572,海马汽车,25.44,16.34,26.679000000000002,15.3914,0.0712,94.1789,0.4362
2,600971,恒源煤电,23.89,29.05,55.5415,73.0402,0.8951,251.361,3.0804
3,600500,中化国际,21.58,8.81,17.2854,483.7922,0.5769,5490.5378,6.5483
4,000566,海南海药,19.55,13.78,56.2782,13.1825,0.0651,95.6599,0.4727
5,600309,万华化学,19.52,20.42,45.6875,215.2805,0.3297,1054.0553,1.6146
6,002024,苏宁云商,18.25,1.32,8.2187,57.006,0.8363,4312.4183,63.269
7,600792,云煤能源,17.73,13.79,34.9158,30.3184,0.2642,219.7604,1.9151
8,000616,海航投资,17.71,7.44,14.181,110.6748,0.3905,1487.3718,5.247999999999999
9,002022,科华生物,17.6,18.8,57.9968,21.3874,0.4214,113.7459,2.2412
10,000617,中油资本,17.31,15.49,26.8803,48.56,0.4669,313.4075,3.0135
11,000157,中联重科,17.11,13.96,28.2399,253.4046,0.4998,1814.6121,3.5791
12,000416,民生控股,17.05,37.14,68.4096,96.5076,0.2363,259.8399,0.6364
13,002019,亿帆医药,16.49,16.41,39.8184,18.6327,0.4968,113.5218,3.0272
14,000635,英力特,15.64,12.15,31.2881,23.1062,0.2016,190.1492,1.6597
15,002029,七匹狼,15.58,13.98,36.9835,17.1834,0.2863,122.8458,2.0474
16,000039,中集集团,15.58,8.41,15.8505,933.9692,0.9261,11095.8696,11.0025
17,002025,航天电器,15.52,23.85,64.9746,16.54,0.3046,69.322,1.2766
18,000717,韶钢松山,15.39,15.22,16.9251,740.4054,0.8833,4862.1006,5.8006
19,000625,长安汽车,15.26,7.87,25.697,798.7234,0.5426,10142.4165,6.8902
20,600585,海螺水泥,15.08,20.75,47.9651,791.924,0.6306,3815.906,3.0389
21,000022,深赤湾A,15.08,33.56,66.4125,233.125,0.47,694.6203,1.4005
22,002033,丽江旅游,15.04,42.52,84.1354,19.1529,0.2576,45.0349,0.6059
23,001696,宗申动力,14.67,4.21,11.171,29.0694,0.2123,690.4685,5.0449
