,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600655,豫园商城,33.76,3.38,14.042,3.697,0.3274,109.1395,9.6665
1,600602,云赛智联,29.14,8.02,31.1452,21.116,10.558,263.1,131.55
2,600651,飞乐音响,7.4,5.71,19.9926,0.151,4.5763,2.6432,80.0971
3,600653,申华控股,5.42,1.57,12.3336,0.0615,6.1469,3.9129,391.287
4,600601,方正科技,3.87,10.3,-3.9784,0.2118,2.1182,2.0552,20.5516
5,600652,游久游戏,2.27,1.3,14.6547,0.0115,0.2878,0.8854,22.134
6,600654,*ST中安,0.48,0.48,6.5968,0.1255,0.5974,26.0165,123.8289
