,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600647,同达创业,94.63,97.02,21.4574,54.7752,1.0235,56.4539,1.0548
1,601919,中远海控,62.43,13.03,21.29,3819.3454,0.622,29293.0092,4.7708
2,002217,合力泰,59.01,11.37,26.0535,29.5206,0.3178,259.5787,2.7947
3,002147,新光圆成,58.68,18.46,40.6665,15.9425,0.2277,86.3609,1.2337
4,002183,怡亚通,54.63,46.49,79.0957,68.4828,0.7397,147.3029,1.5911
5,000008,神州高铁,52.96,132.31,27.8732,38.5876,0.5239,29.1631,0.3959
6,002218,拓日新能,52.77,27.38,34.8537,16.4498,0.13699999999999998,60.068000000000005,0.5005
7,002178,延华智能,50.2,9.48,27.4211,12.1184,0.2019,127.7191,2.1286
8,002191,劲嘉股份,46.94,15.37,27.5068,141.3378,0.7066,919.2334,4.5961
9,601003,柳钢股份,46.52,9.86,16.442,924.3838,1.5281,9365.6213,15.4832
10,000951,中国重汽,44.56,2.26,8.8592,173.9017,0.6847,7682.6172,30.2495
11,600338,西藏珠峰,41.62,1.63,12.0729,3.9065,0.0246,238.8542,1.5085
12,002213,特尔佳,41.06,19.33,45.7369,17.8395,0.2316,92.2598,1.1981
13,002103,广博股份,40.79,18.27,27.412,83.5349,0.5885,457.175,3.2209
14,002122,天马股份,40.37,13.46,29.3425,53.501000000000005,0.5245,397.3022,3.8951
15,601169,北京银行,39.81,34.41,46.3824,1383.75,0.2752,4021.093,0.7998
16,002092,中泰化学,39.51,13.32,28.1129,133.9222,0.9847,1004.8865,7.3888
17,002146,荣盛发展,38.65,16.66,32.7773,122.461,0.371,735.051,2.2274
18,002104,恒宝股份,38.28,21.53,48.29600000000001,33.5297,0.38799999999999996,155.6818,1.8018
19,002085,万丰奥威,38.24,12.55,20.6219,90.9494,0.5095,724.3003,4.0577
20,002106,莱宝高科,37.77,37.11,58.9245,143.9897,0.9835,387.906,2.6496
21,002138,顺络电子,37.57,34.02,55.0512,26.4123,0.3773,77.624,1.1089
22,002194,武汉凡谷,36.99,21.74,31.4395,67.5062,0.4219,310.3741,1.9398
23,002069,獐子岛,36.34,19.73,43.6451,72.2836,0.8524,366.20099999999996,4.3184
24,002095,生意宝,35.74,50.74,88.2807,26.988000000000003,0.5997,53.1808,1.1817
25,002152,广电运通,35.5,16.89,48.4788,30.2178,0.2835,178.8757,1.6786
26,601872,招商轮船,35.18,47.83,52.1045,1206.2701,0.5401,2521.8501,1.1291
27,000617,中油资本,34.87,18.2,25.8739,121.5318,0.7303,667.4909,4.0113
28,601666,平煤股份,34.57,14.59,30.9838,722.2965,1.0249,4947.9439,7.0211
29,002148,北纬通信,34.4,35.74,73.638,27.0415,0.7153,75.6489,2.0012
30,600837,海通证券,34.25,97.33,26.8154,166.1422,0.6631,170.6961,0.6813
31,002166,莱茵生物,33.58,20.26,33.4663,15.376,0.3185,75.8761,1.5719999999999998
32,002088,鲁阳节能,33.57,16.41,38.728,46.0053,0.5955,280.1979,3.6269
33,600048,保利地产,33.14,12.12,32.6696,189.0917,0.4727,1559.0729,3.8976
34,002202,金风科技,33.13,17.21,25.5002,42.1574,0.0936,244.8636,0.5441
35,600792,云煤能源,32.97,8.63,30.2795,69.2033,0.603,801.8643,6.9879
36,002182,云海金属,32.83,3.83,10.4343,19.8946,0.1381,519.3396,3.6065
37,002139,拓邦股份,32.58,4.92,15.7486,16.4438,0.5151,333.7094,10.4545
38,002041,登海种业,32.28,28.72,51.9125,85.3862,1.2937,297.2704,4.504
39,002164,宁波东力,32.13,10.43,26.8541,20.590999999999998,0.2287,197.3159,2.1923
40,000039,中集集团,31.97,8.99,16.9931,2389.0236,2.3689,26567.7838,26.3442
41,002081,金螳螂,31.78,3.37,18.1628,33.1435,0.4734,982.1815,14.0311
42,002073,软控股份,31.72,27.8,42.1252,62.0267,1.1651,223.0818,4.1905
43,001696,宗申动力,31.32,4.57,11.12,77.0834,0.5632,1683.9877,12.304
44,600309,万华化学,31.25,19.17,40.4619,403.5044,0.6181,2104.2287,3.2233
45,002094,青岛金王,31.06,9.27,22.8231,36.5753,0.4989,394.3412,5.3794
46,002084,海鸥卫浴,30.92,10.3,24.5114,63.2759,0.4791,614.1836,4.6511
47,600500,中化国际,30.8,6.13,13.584000000000001,797.7011,0.9513,13006.1834,15.5119
48,002130,沃尔核材,30.47,13.75,36.92,15.3737,0.381,111.7798,2.7702
49,002052,同洲电子,30.16,5.81,17.449,40.5039,0.6241,696.1872,10.7276
50,002214,大立科技,30.05,29.6,60.0216,19.0493,0.2539,64.3538,0.858
51,002101,广东鸿图,29.94,12.19,27.3378,30.639,0.6127,251.2014,5.024
52,002180,艾派克,29.78,24.88,63.4008,15.0336,0.3618,60.4098,1.4539
53,601088,中国神华,29.76,20.08,48.5344,7887.0,0.4359,39267.0,2.1706
54,002143,印纪传媒,29.52,2.64,8.1343,36.8634,0.4607,1395.9138,17.4489
55,601001,大同煤业,29.47,15.54,55.8768,386.5328,0.6941,2487.2323,4.4666
56,601699,潞安环能,29.28,10.45,33.5871,438.4881,0.9549,4196.0437,9.1379
57,002110,三钢闽光,29.2,5.57,11.8748,421.0128,0.9685,7551.5781,17.3719
58,002118,紫鑫药业,29.17,27.59,79.77,29.3608,0.5799,106.4178,2.1021
59,000022,深赤湾A,28.92,34.49,67.8486,535.6289,1.0799,1552.6517,3.1305
60,002153,石基信息,28.39,19.29,50.9241,21.0488,0.5011,109.0765,2.597
61,002078,太阳纸业,28.25,5.56,17.3366,217.2436,1.0805,3904.6958,19.4218
62,601998,中信银行,28.1,22.14,36.5239,2450.0,0.0787,11064.0,0.3556
63,002160,常铝股份,28.06,4.87,14.6109,44.6353,0.35,916.3569,7.1871
64,002155,湖南黄金,28.04,9.24,29.9244,51.0926,0.1743,552.663,1.8862
65,002222,福晶科技,28.01,34.15,71.8239,36.2585,0.2544,106.1675,0.745
66,002107,沃华医药,27.99,25.3,79.993,23.1329,0.4449,91.4195,1.7584
67,002065,东华软件,27.98,12.58,25.9567,40.6268,0.6285,322.7417,4.9931
68,601866,中远海发,27.75,18.36,26.7206,3978.6774,0.4256,21661.5809,2.3176
69,002136,安纳达,27.67,6.19,16.4831,9.767000000000001,0.1657,157.533,2.6736
70,002134,*ST普林,27.64,18.03,33.1806,42.3286,0.2885,234.7366,1.6003
71,002177,御银股份,27.57,22.1,60.6974,12.6231,0.2271,57.0971,1.0275
72,002086,东方海洋,27.52,13.79,22.1981,24.307,0.4692,176.2579,3.4026
73,002050,三花智控,27.51,11.55,28.831999999999997,42.0724,0.5068,364.129,4.387
74,002131,利欧股份,27.46,6.37,17.3501,15.4579,0.2746,242.5132,4.309
75,002099,海翔药业,27.28,6.94,18.5788,35.1341,0.4391,506.1005,6.3262
76,601168,西部矿业,27.26,16.65,34.5228,307.3348,0.9589,1844.7853,5.7559
77,002040,南京港,27.17,30.51,68.6857,59.577,0.5172,195.2443,1.6952
78,002115,三维通信,27.09,13.48,42.7737,22.2264,0.3704,164.8683,2.7478
79,002188,巴士在线,27.07,9.0,31.7004,16.1303,0.2688,179.0408,2.984
80,002064,华峰氨纶,26.95,20.15,35.7167,124.8743,1.1725,619.7047,5.8188
81,002184,海得控制,26.93,6.15,17.3525,31.6443,0.3859,513.8143,6.266
82,002207,*ST准油,26.8,18.1,29.0496,31.8091,0.4272,175.6561,2.3591
83,000635,英力特,26.67,12.75,33.2035,46.5471,0.4063,364.9999,3.1860000000000004
84,601002,晋亿实业,26.39,17.39,21.3679,193.9068,0.3669,1114.875,2.1096
85,002203,海亮股份,26.07,3.38,7.3346,60.6285,0.1756,1789.5968,5.1857
86,002163,中航三鑫,25.95,5.21,19.4149,34.0853,0.3341,653.4164,6.406000000000001
87,002161,远望谷,25.93,28.85,65.2829,22.0832,0.4591,76.5274,1.591
88,002047,宝鹰股份,25.92,6.67,19.9785,85.8923,0.5713,1286.0222,8.5546
89,002261,拓维信息,25.92,17.24,42.1766,16.0634,0.2683,93.1554,1.556
90,002111,威海广泰,25.7,17.15,34.7341,17.1325,0.2698,99.8822,1.5729
91,002212,南洋股份,25.67,5.26,9.5667,26.0805,0.2308,495.6267,4.386
92,002128,露天煤业,25.6,17.17,37.8086,152.0003,0.2638,884.7683,1.5355
93,002133,广宇集团,25.55,12.74,23.5486,56.2226,0.3017,441.2247,2.3683
94,002157,正邦科技,25.54,2.95,9.2196,19.6101,0.3483,663.1829,11.7801
95,000538,云南白药,25.48,9.35,30.4567,171.3487,0.7093,1832.3122,7.5852
96,002124,天邦股份,25.45,8.92,18.4551,24.0327,0.4806,269.3486,5.3869
97,000503,海虹控股,25.42,95.48,42.9129,358.0744,0.478,374.9915,0.5006
98,002053,云南能投,25.32,13.62,45.9366,89.0807,0.7689,653.7072,5.6426
99,600970,中材国际,25.29,2.8,14.5769,73.959,0.6723,2637.3639,23.976
100,002142,宁波银行,25.12,42.14,55.849,438.0241,0.2136,1039.2151,0.5069
101,601939,建设银行,25.08,43.56,45.7208,49042.0,0.2182,112579.0,0.501
102,002090,金智科技,24.96,7.52,28.9922,26.6597,0.5227,354.4551,6.95
103,000338,潍柴动力,24.89,8.67,24.8922,536.8696,1.6268,6187.9953,18.7515
104,000037,深南电A,24.81,18.07,20.5607,439.6972,0.8024,2432.7125,4.4395
105,601857,中国石油,24.71,25.03,53.7147,97281.0,0.5434,388633.0,2.1708
106,002091,江苏国泰,24.65,2.53,7.0372,60.2543,0.6276,2377.626,24.7669
107,002058,威尔泰,24.62,14.22,35.8619,20.9493,0.4721,147.2782,3.3194
108,002141,贤丰控股,24.47,8.53,19.2811,20.1688,0.3311,236.2816,3.8798
109,002583,海能达,24.43,16.61,39.7241,26.5933,1.3296,160.1005,8.005
110,002179,中航光电,24.4,14.69,40.2619,34.1586,0.3838,232.3845,2.611
111,002173,创新医疗,24.39,11.34,23.1544,17.1835,0.3436,151.4169,3.0283
112,600886,国投电力,24.38,13.81,35.9686,328.4645,0.5829,2377.8509,4.2198
113,002055,得润电子,24.34,5.42,14.1674,21.3144,0.4808,392.6211,8.8572
114,002117,东港股份,24.28,10.89,32.0189,37.7931,0.4608,346.9908,4.2315
115,002436,兴森科技,24.27,14.21,30.7894,19.1033,3.9798,134.4121,28.0025
116,002076,雪莱特,24.12,13.02,28.2265,20.0657,0.2627,154.0078,2.0165
117,000662,天夏智慧,24.08,17.49,65.0573,73.5203,0.4901,420.2405,2.8017
118,000616,海航投资,23.96,6.75,17.1804,162.0389,0.5717,2397.7824,8.4603
119,000933,神火股份,23.94,27.93,50.3653,343.4986,1.3739,1229.5527,4.9182
120,600182,S佳通,23.92,4.26,18.6553,72.0442,0.2118,1690.2982,4.9714
