,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,600660,福耀玻璃,167.23,36.14,35.7872,44.6889,0.3153,123.6502,0.8724
1,000563,陕国投A,89.32,42.87,100.0,38.0791,0.3322,88.8242,0.775
2,000042,中洲控股,33.78,36.38,57.6587,78.0264,1.3859,214.4383,3.8088
3,600867,通化东宝,30.9,57.07,76.4129,35.2824,0.6533,61.818000000000005,1.1447
4,600854,春兰股份,29.94,14.3,26.1365,140.8821,1.1740000000000002,984.7173,8.2059
5,600839,四川长虹,23.1,17.02,100.0,300.498,1.2635,1765.0793,7.4219
6,000505,*ST珠江,19.36,54.14,100.0,124.1833,0.446,229.3362,0.8237
7,000572,海马汽车,18.74,28.98,100.0,43.8383,0.4434,151.2623,1.5301
8,000016,深康佳A,17.97,11.37,100.0,121.0738,0.4305,1064.2359,3.7844
9,000026,飞亚达A,16.67,21.88,100.0,36.0915,0.5916,164.9173,2.7035
10,600678,四川金顶,16.49,50.21,100.0,87.3014,0.4481,173.8491,0.8924
11,000005,世纪星源,16.06,17.55,100.0,30.3096,0.3367,172.6275,1.9180000000000001
12,000011,深物业A,15.77,55.42,100.0,188.8004,0.4216,340.6697,0.7608
13,600675,中华企业,15.11,39.66,100.0,42.9257,0.5459,108.2322,1.3764
14,000521,美菱电器,14.41,8.36,100.0,58.5876,0.4494,700.1002,5.3709
15,000568,泸州老窖,14.16,42.13,100.0,59.2497,0.6819,140.6168,1.6185
16,600865,百大集团,14.15,6.04,14.5711,20.5279,0.2801,339.6035,4.6343
17,600663,陆家嘴,13.93,162.11,100.0,165.2729,0.2254,101.9506,0.139
18,000001,平安银行,13.74,42.91,100.0,207.9063,0.7716,484.4948,1.7983
19,600641,万业企业,13.74,41.91,100.0,32.4329,0.2429,77.3794,0.5796
20,600814,杭州解百,13.7,7.76,100.0,35.5274,0.3123,457.2421,4.0206
21,600698,湖南天雁,13.67,12.73,100.0,85.618,0.48200000000000004,672.0566,3.7841
22,600648,外高桥,13.48,22.31,100.0,113.1309,0.2066,506.8621,0.9257
23,000541,佛山照明,13.24,36.27,100.0,78.322,0.6766,215.9341,1.8654
24,000046,泛海控股,13.18,11.89,100.0,17.5591,0.4502,147.6365,3.7855
25,000009,中国宝安,12.87,54.97,100.0,226.9627,0.3529,412.8254,0.642
26,600680,*ST上普,12.84,13.97,100.0,28.1601,0.3251,201.4326,2.326
27,000520,长航凤凰,12.63,45.23,100.0,51.651,0.2855,114.1856,0.6312
28,600640,号百控股,12.22,19.33,100.0,68.0335,0.3465,351.8465,1.7924
29,600684,珠江实业,12.18,25.56,100.0,52.1689,0.3861,204.0275,1.51
30,000571,新大洲A,12.1,17.66,100.0,32.031,0.4003,181.3233,2.2665
31,000544,中原环保,12.08,20.62,100.0,43.3575,0.2428,210.1842,1.1775
32,000543,皖能电力,12.01,30.72,100.0,148.2207,0.267,482.3868,0.8691
33,600639,浦东金桥,11.94,17.63,100.0,109.9063,0.2415,623.2291,1.3697
34,000014,沙河股份,11.85,8.65,100.0,27.1739,0.3789,313.9627,4.3777
35,600694,大商股份,11.5,6.72,20.0887,29.4678,0.2415,438.236,3.5928
36,600802,福建水泥,11.46,27.03,100.0,50.7014,0.2699,187.555,0.9986
37,600819,耀皮玻璃,11.38,48.0,100.0,141.372,0.3624,294.5004,0.7551
38,000548,湖南投资,11.32,11.28,100.0,49.4106,0.2457,438.0091,2.1783
39,000039,中集集团,11.18,8.22,100.0,44.0973,0.4954,536.1359,6.0239
40,000043,中航地产,10.9,22.98,50.4679,26.16,0.3699,113.8088,1.6092
41,000536,华映科技,10.9,8.53,100.0,19.8467,0.1804,232.4065,2.1127
42,000006,深振业A,10.89,44.95,100.0,37.4481,0.4128,83.3087,0.9183
43,600221,海南航空,10.63,21.48,100.0,37.2606,0.079,173.3876,0.368
44,000523,广州浪奇,10.5,17.37,100.0,31.1771,0.2256,179.4128,1.2985
45,000023,深天地A,10.44,72.38,100.0,22.7457,0.2494,31.4228,0.3445
46,000037,深南电A,10.36,16.75,100.0,46.2731,0.3235,276.2249,1.9316
47,600812,华北制药,10.28,21.22,100.0,107.691,0.1543,507.397,0.7271
48,000561,烽火电子,10.27,9.0,100.0,45.2397,0.2652,502.4717,2.946
49,600682,南京新百,10.22,5.92,,28.0867,0.2355,474.36400000000003,3.9782
50,000030,富奥股份,10.07,32.93,100.0,69.365,0.3174,210.5831,0.9637
51,600611,大众交通,10.03,33.86,100.0,39.4759,0.3133,116.5668,0.9251
52,600851,海欣股份,10.02,33.03,100.0,44.0543,0.3432,133.3558,1.0390000000000001
53,600815,*ST厦工,9.97,17.58,100.0,56.6335,0.2578,322.0988,1.4665
54,600805,悦达投资,9.81,5.71,9.9774,26.8074,0.3659,469.1108,6.4042
55,000045,深纺织A,9.78,15.52,100.0,23.0987,0.2816,148.8216,1.8148
56,600691,阳煤化工,9.72,30.82,100.0,11.8032,0.2024,38.2936,0.6566
57,000018,神州长城,9.71,14.0,100.0,30.26,0.2164,216.021,1.5453
58,000012,南玻A,9.65,34.44,100.0,83.891,0.3333,243.533,0.9678
59,000513,丽珠集团,9.64,17.3,100.0,54.7474,0.2968,316.3192,1.7151
60,600841,上柴股份,9.64,23.58,100.0,115.2723,0.3499,488.8218,1.4838
61,600677,航天通信,9.58,3.29,100.0,19.48,0.1793,591.7174,5.449
62,000007,全新好,9.56,36.89,100.0,20.6214,0.47600000000000003,55.8996,1.2904
63,000029,深深房A,9.53,28.57,100.0,190.83,0.2263,667.89,0.7922
64,600643,爱建集团,9.44,182.68,100.0,54.635,0.3035,29.9059,0.1661
65,600645,中源协和,9.44,23.43,100.0,14.3222,0.2111,61.1174,0.9009
66,600617,国新能源,9.35,35.49,100.0,24.9432,0.179,70.2694,0.5043
67,000533,万家乐,9.27,10.94,100.0,97.7722,0.2377,893.5563,2.173
68,000551,创元科技,9.26,6.03,100.0,20.3832,0.2516,337.4732,4.1663
69,600824,益民集团,9.23,7.62,100.0,14.1806,0.2817,185.94299999999998,3.6941
70,600853,龙建股份,9.19,14.06,100.0,105.5679,0.2399,750.7858,1.7063
71,600866,星湖科技,9.17,10.28,20.7589,15.0894,0.4012,146.6502,3.8994
72,000554,泰山石油,9.06,17.82,100.0,55.4713,0.327,311.1597,1.8347
73,600664,哈药股份,8.99,6.81,100.0,58.5443,0.2317,858.765,3.3991
74,000559,万向钱潮,8.97,22.76,100.0,20.4447,0.1875,89.815,0.8239
75,600835,上海机电,8.97,11.74,100.0,90.0778,0.3291,767.1209,2.8032
76,600666,奥瑞德,8.96,17.46,100.0,11.9864,0.1578,68.6115,0.9035
77,600686,金龙汽车,8.92,3.48,100.0,9.4845,0.1621,271.8747,4.6469
78,000031,中粮地产,8.79,42.92,100.0,73.9149,0.3359,172.19799999999998,0.7827
79,600638,新黄浦,8.78,23.86,100.0,42.9041,0.2519,179.7507,1.0554
80,600674,川投能源,8.77,15.97,100.0,33.885999999999996,0.1749,212.06799999999998,1.0949
81,600816,安信信托,8.75,57.55,100.0,26.6622,0.1939,46.3232,0.3369
82,600846,同济科技,8.75,23.57,100.0,12.212,0.2438,51.8101,1.0344
83,600844,*ST丹科,8.74,20.75,100.0,27.02,0.2456,130.19,1.1834
84,000504,*ST生物,8.71,49.42,100.0,52.3156,0.1919,105.8541,0.3884
85,600828,茂业商业,8.71,5.44,100.0,17.8611,0.2089,327.9957,3.8362
86,000004,国农科技,8.64,13.04,100.0,21.15,0.27699999999999997,162.0985,2.1233
87,000509,华塑控股,8.55,32.71,100.0,28.614,0.2506,87.4693,0.7659999999999999
88,600688,上海石化,8.52,17.94,100.0,772.783,0.124,4305.569,0.6911
89,000529,广弘控股,8.43,10.45,100.0,69.2748,0.3485,662.8732,3.3349
90,000514,渝开发,8.3,15.54,100.0,11.3437,0.1505,72.9959,0.9687
91,600693,东百集团,8.26,8.96,100.0,11.5182,0.1584,128.5211,1.7681
