,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000732,泰禾集团,4706.12,165.3,7.4025,385.8971,1.6557,233.4447,1.0016
1,000719,大地传媒,431.22,1149.79,-12.4532,22.9844,0.1776,1.999,0.0154
2,000403,ST生化,92.37,4.71,41.2925,15.3052,0.0723,324.8384,1.5345
3,000935,四川双马,47.88,37.13,25.1251,196.4265,0.6149,528.9243,1.6559
4,300050,世纪鼎利,42.77,39.13,63.9152,78.6847,1.9671,201.0512,5.0262
5,002304,洋河股份,42.53,31.24,54.323,903.8214,2.2316,2892.2401,7.1413
6,002353,杰瑞股份,42.13,24.95,37.4871,116.8989,1.3621,468.5299,5.4595
7,000856,冀东装备,41.09,32.94,13.8921,65.035,0.2864,197.4145,0.8696
8,600505,西昌电力,38.42,54.67,53.2443,155.0264,0.4252,283.5631,0.7778
9,300023,宝德股份,38.39,24.09,39.2862,25.0049,0.5556,103.7851,2.3063
10,600196,复星医药,36.41,79.37,33.4555,2217.1815,1.7912,2793.2343,2.2566
11,600136,当代明诚,35.85,85.83,56.6169,37.0252,0.3544,43.1357,0.413
12,300033,同花顺,35.52,40.29,91.5887,52.9974,1.0515,131.5147,2.6094
13,000517,荣安地产,34.58,31.88,50.7552,447.9503,0.42200000000000004,1404.9682,1.3238
14,000792,盐湖股份,34.18,32.72,73.2037,934.8321,1.2179,2856.4128,3.7214
15,000425,徐工机械,33.15,9.17,20.2444,1306.8254,1.5065,14247.8015,16.425
16,002317,众生药业,33.14,17.98,61.4961,73.5852,1.2264,409.2041,6.82
17,600216,浙江医药,32.9,24.58,39.3016,731.9178,1.6262,2976.7655,6.6141
18,300039,上海凯宝,32.82,14.71,82.3076,49.9758,0.6079,339.5703,4.131
19,000568,泸州老窖,32.81,39.1,65.5864,1255.4584,0.9004,3210.7028,2.3028
20,600875,东方电气,32.2,4.64,15.6891,1058.142,1.1997,22790.2353,25.8392
21,002308,威创股份,31.91,23.54,58.8963,85.5532,0.5335,363.409,2.2663
22,300043,星辉娱乐,31.41,16.43,30.5328,28.5145,0.72,173.4939,4.3811
23,600971,恒源煤电,31.12,8.17,31.4091,293.2555,1.2221,3588.3055,14.9539
24,000540,中天金融,30.59,31.75,37.8615,328.9941,0.5762,1036.0938,1.8148
25,300011,鼎汉技术,30.31,25.39,49.8862,44.4526,1.1583,175.0643,4.5618
26,002320,海峡股份,29.7,31.56,50.4372,117.6896,0.9973,372.889,3.16
27,300026,红日药业,29.64,37.48,78.6881,52.7288,1.3967,140.6494,3.7256
28,002311,海大集团,29.16,3.82,9.0449,154.5512,0.9199,4038.6159,24.0393
