,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
0,000951,中国重汽,36.04,2.19,9.8618,119.4241,0.4702,5439.189,21.4162
1,000572,海马汽车,35.34,17.25,25.5813,28.7405,0.1331,166.6032,0.7716
2,000503,海虹控股,30.9,138.35,47.2006,398.4745,0.5319,288.0185,0.3845
3,600500,中化国际,29.36,8.46,15.5172,744.5832,0.888,8791.6473,10.4854
4,600309,万华化学,26.19,18.56,42.5974,314.8647,0.4823,1695.6956,2.5975
5,000039,中集集团,26.03,9.6,16.4518,1781.986,1.7669,18561.9597,18.4058
6,600792,云煤能源,25.81,9.8,27.0232,48.9507,0.4265,499.278,4.351
7,000617,中油资本,25.77,15.73,26.855999999999998,78.7265,0.4731,500.4467,3.0074
8,000635,英力特,23.74,13.78,32.2664,38.9289,0.3398,282.4376,2.4653
9,001696,宗申动力,23.14,4.39,11.6827,50.9121,0.3719,1158.9972,8.4682
10,000022,深赤湾A,22.87,35.11,68.6759,389.0815,0.7844,1108.0694,2.2341
11,600837,海通证券,22.61,83.3,27.0221,92.97399999999999,0.371,111.60700000000001,0.4454
12,000157,中联重科,21.79,13.13,27.2079,342.8485,0.6762,2610.4228,5.1487
13,600970,中材国际,21.52,3.29,14.8891,59.9183,0.5447,1816.1348,16.5103
14,000416,民生控股,21.0,32.61,67.4195,124.9241,0.3059,383.0845,0.9383
15,000538,云南白药,20.06,9.47,30.8557,125.6841,0.5202,1327.0658,5.4936
16,600096,云天化,19.63,25.27,43.4853,350.1787,0.9436,1385.2157,3.7327
17,000037,深南电A,19.23,18.43,23.548000000000002,317.7049,0.5797,1723.1729999999998,3.1446
18,600886,国投电力,18.9,14.33,36.416,240.1137,0.8522,1675.4926,5.9468
19,600818,中路股份,18.32,4.67,16.7843,35.1143,0.1321,751.534,2.8289
20,000933,神火股份,18.21,27.25,50.5089,243.0424,0.9721,891.8109,3.5672
21,600307,酒钢宏兴,18.1,9.36,17.8247,595.6314,0.8181,6358.4577,8.7341
22,600660,福耀玻璃,18.07,17.84,33.5883,310.0374,0.3095,1737.1674,1.7345
23,600740,山西焦化,18.07,12.12,25.0109,168.0982,0.8286,1386.7591,6.8363
24,600019,宝钢股份,18.01,16.56,30.4567,7137.6471,0.5704,43075.9677,3.4427
25,600022,山东钢铁,17.8,4.7,11.6487,571.2813,0.6077,12129.3675,12.9035
26,000066,中国长城,17.41,18.68,6.1141,256.1882,0.5587,1371.0712,2.9903
27,000960,锡业股份,17.33,11.43,22.8331,249.3383,0.6966,2179.5583,6.0897
28,600058,五矿发展,17.26,0.99,4.5721,453.2728,0.8221,45594.5122,82.7013
29,600808,马钢股份,17.22,14.91,22.9844,2874.2626,0.4452,19271.9661,2.9854
30,000662,天夏智慧,17.19,15.58,67.3623,52.5459,0.3503,337.215,2.2482
31,600585,海螺水泥,17.16,15.71,39.3744,923.5544,0.7355,5876.0145,4.6795
32,600026,中远海能,17.03,28.6,39.7444,1361.6145,0.4093,4759.3292,1.4309
33,600282,南钢股份,16.98,5.6,10.47,418.506,0.8303,7461.3401,14.8042
34,000717,韶钢松山,16.88,11.34,13.7719,826.5515,0.9861,7285.8793,8.6922
35,600743,华远地产,16.77,0.68,3.6668,1.4594,0.0046,214.1224,0.6845
36,600817,*ST宏盛,16.72,1.24,4.8527,30.3795,0.3067,2431.9993,24.5602
37,600183,生益科技,16.56,15.24,24.7543,209.4854,0.3283,1373.9022,2.1533
38,600823,世茂股份,16.49,11857.38,23.6654,114.8365,0.4856,0.9685,0.004
39,600408,安泰集团,16.44,11.76,47.8225,137.1264,0.3507,1165.2755,2.9802
40,600418,江淮汽车,16.42,3.87,20.5396,236.0433,1.0262,6090.9269,26.4822
41,600581,八一钢铁,16.27,7.28,14.2833,365.1956,0.6194,5014.7582,8.5057
42,600432,*ST吉恩,16.21,13.86,36.8783,91.9549,0.4839,663.3403,3.4912
43,600718,东软集团,16.21,16.51,25.5329,259.1068,0.9206,1569.1568,5.5752
44,000616,海航投资,16.13,6.03,14.9777,98.8766,0.3488,1637.7697,5.7787
45,600583,海油工程,16.11,12.81,18.918,274.5012,0.8318,2142.2502,6.4916
46,600104,上汽集团,16.08,31.63,26.4165,1807.5391,0.5517,5714.5119,1.7443
47,000069,华侨城A,16.03,63.89,52.5638,279.3639,0.267,437.2146,0.4178
48,000625,长安汽车,15.98,7.78,26.4027,1044.6745,0.6445,13419.1095,8.279
49,600780,通宝能源,15.89,15.57,36.3179,243.7601,0.2792,1565.4102,1.7932
50,600123,兰花科创,15.88,19.52,51.2473,189.4109,0.5101,970.3288,2.6136
51,600267,海正药业,15.88,13.19,38.8389,177.1548,0.3943,1342.1395,2.9873
52,600508,上海能源,15.62,14.18,40.6395,275.8512,0.687,1944.6053,4.8432
53,000792,盐湖股份,15.61,28.53,60.0848,197.6279,0.2574,692.4791,0.9021
54,600126,杭钢股份,15.5,5.96,13.307,459.0254,0.7112,7698.8758,11.9299
55,600362,江西铜业,15.44,11.9,18.4206,901.1689,0.3382,7570.3916,2.8416
56,600636,*ST爱富,15.42,6.55,21.0752,83.8929,0.3454,1279.8464,5.2708
57,600971,恒源煤电,15.31,28.42,54.9305,117.0936,0.9322,411.8951,3.2794
58,000402,金融街,15.27,17.9,40.4368,181.0934,0.4726,1011.625,2.6404
59,600231,凌钢股份,15.25,7.34,11.6949,319.5711,0.6099,4348.4324,8.3001
60,000825,太钢不锈,15.05,4.33,7.7328,686.4624,0.5315,15851.5628,12.2746
61,000651,格力电器,15.02,3.5,18.5122,352.7623,0.6569,10057.2941,18.7307
62,000088,盐田港,14.98,109.55,46.7659,503.0091,0.40399999999999997,459.1188,0.3687
63,600688,上海石化,14.89,9.29,18.2285,2613.7470000000003,0.363,28126.622000000003,3.9064
64,600031,三一重工,14.86,12.87,31.8503,276.2272,1.1509,2144.927,8.9371
65,600232,金鹰股份,14.72,11.34,21.7287,103.2194,0.4716,909.9145,4.1576
66,000528,柳工,14.58,7.46,17.8994,213.518,0.5875,2860.4898,7.8708
67,600320,振华重工,14.58,6.65,11.3335,347.7965,0.3809,5223.2893,5.721
68,600303,曙光股份,14.5,4.2,14.8512,82.6695,0.5103,1967.0198,12.142000000000001
69,600880,博瑞传播,14.49,19.07,50.0652,51.2563,0.2812,268.7784,1.4747
70,600333,长春燃气,14.36,19.74,36.0871,145.8345,0.3587,738.5033,1.8165
71,600888,新疆众和,14.34,12.16,36.6986,51.2534,0.4957,421.4652,4.0764
72,000778,新兴铸管,14.26,7.45,21.1675,469.7053,0.7557,6301.4418,10.1392
73,600010,包钢股份,14.14,5.8,8.3361,665.6093,0.5324,11472.5553,9.177999999999999
74,000911,南宁糖业,14.13,10.02,24.9752,114.2873,0.4746,1140.3113,4.7355
75,000027,深圳能源,14.07,12.86,30.304000000000002,533.9919,0.444,4151.609,3.4524
76,600115,东方航空,14.01,5.87,20.52,881.794,0.1811,15006.2002,3.0832
77,600749,西藏旅游,13.96,7.97,19.424,13.5576,0.1694,169.9576,2.1244
78,600428,中远海特,13.92,19.33,35.3702,231.6334,0.4949,1198.0706,2.5599
79,000726,鲁泰A,13.79,15.24,27.7892,207.11900000000003,0.4903,1358.961,3.2169
80,600706,曲江文旅,13.77,8.72,55.8972,30.4588,0.3487,349.2182,3.9986
81,000063,中兴通讯,13.71,4.44,38.2349,726.3542,0.907,16333.1394,20.3971
82,000959,首钢股份,13.71,5.26,10.2071,820.1482,0.355,15563.4833,6.7373
83,000937,冀中能源,13.69,14.82,40.4872,257.3137,0.6054,1735.8762,4.0844
84,000767,漳泽电力,13.6,15.48,26.0282,255.7739,0.3015,1651.5983,1.9469999999999998
85,000502,绿景控股,13.58,18.47,41.4223,36.4881,0.2343,197.5394,1.2689
86,600028,中国石化,13.51,5.75,22.6579,24042.0,0.2772,417695.0,4.8175
87,002024,苏宁云商,13.5,1.53,9.2141,101.4539,1.089,6603.1465,70.8796
88,600619,海立股份,13.34,6.0,19.9167,164.5591,0.3603,2738.6209,5.9975
89,600519,贵州茅台,13.34,24.9,82.2292,515.5691,1.311,2070.4382,5.2649
90,600616,金枫酒业,13.31,2.24,16.0862,60.0754,0.1972,2677.0926,8.7879
91,600182,S佳通,13.31,3.13,17.124000000000002,35.2349,0.1036,1124.5892,3.3076
92,600188,兖州煤业,13.28,22.41,61.4349,1914.0468,0.6226,8540.6367,2.7783
93,000677,恒天海龙,13.27,6.09,17.8176,86.6422,0.4212,1421.8370000000002,6.912999999999999
94,600256,广汇能源,13.27,11.77,25.8138,210.2743,0.2427,1785.7196,2.0618
95,600711,盛屯矿业,13.25,17.09,51.938,17.387,0.28800000000000003,101.73700000000001,1.6855
96,000600,建投能源,13.15,3.42,23.3602,46.4632,0.3022,1356.9536,8.8266
97,600009,上海机场,13.14,57.44,60.3661,983.8942,0.5105,1712.6176,0.8887
98,600549,厦门钨业,13.11,8.16,27.0558,91.2176,0.38,1116.9775,4.654
99,600352,浙江龙盛,13.09,11.15,24.9391,116.275,0.2561,1042.4722,2.2961
100,600521,华海药业,13.06,35.24,53.2488,99.9604,0.5553,283.5924,1.5755
101,600531,豫光金铅,12.97,4.71,10.3844,82.5307,0.3615,1751.25,7.6718
102,000531,穗恒运A,12.92,9.48,32.6059,102.3736,0.1341,1079.667,4.0509
103,000895,双汇发展,12.91,3.62,13.0412,214.1112,0.4169,5898.6921,11.4859
104,000983,西山煤电,12.85,17.31,37.3451,465.0368,0.5755,2686.0818,3.3243
105,000048,康达尔,12.72,0.9,15.4492,6.5724,0.0168,724.9968,1.8553
106,600016,民生银行,12.62,12.24,20.6414,1570.411,0.3029,12820.274,2.4728
107,000550,江铃汽车,12.61,7.48,22.1525,307.498,0.3562,4106.5038,4.7572
108,000498,山东路桥,12.6,10.14,18.8485,67.37100000000001,0.1727,664.0357,1.7026
109,600085,同仁堂,12.57,11.48,46.5743,220.8884,0.6657,1923.7831,5.797999999999999
110,000731,四川美丰,12.53,17.18,30.0178,117.0042,0.4762,680.9484,2.7718
111,000898,鞍钢股份,12.5,7.51,14.6225,1194.8239999999998,0.4032,15894.874,5.3646
112,600036,招商银行,12.49,17.61,63.1858,2533.683,0.3699,14385.946000000002,2.1006
113,600673,东阳光科,12.31,6.33,9.5771,24.415,0.2203,385.244,3.4771
114,000012,南玻A,12.28,20.61,38.2007,278.658,0.4116,1352.0516,1.9971
115,600270,外运发展,12.28,10.75,43.762,282.8631,0.3436,2630.2688,3.1953
116,600597,光明乳业,12.28,4.76,31.5821,242.3964,0.2326,5083.0194,4.8786
117,600708,光明地产,12.18,10.09,28.8843,71.6285,0.2006,709.6577,1.9883
118,000970,中科三环,12.17,12.45,30.8834,85.6022,0.1686,687.0515,1.3535
119,600874,创业环保,12.16,45.41,82.6937,264.851,0.1991,583.1824,0.4384
120,000829,天音控股,11.95,0.83,9.0831,44.0203,0.2794,5244.3508,33.2974
121,000968,*ST煤气,11.91,16.07,34.5036,169.3845,0.4286,1053.8109,2.6665
122,600533,栖霞建设,11.75,12.78,33.1337,68.1228,0.4865,532.8208,3.8058
123,002033,丽江旅游,11.73,42.43,85.9374,32.7642,0.3298,77.2079,0.7773
124,600761,安徽合力,11.61,9.5,22.8721,98.8565,0.322,1040.1294,3.3885
125,600841,上柴股份,11.33,6.81,22.3471,212.225,0.4418,3113.015,6.4812
126,000926,福星股份,11.29,10.28,27.7143,95.5874,0.3584,929.0283,3.4834
127,600686,金龙汽车,11.29,2.66,16.1569,51.4255,0.3394,1930.65,12.742
128,600301,ST南化,11.27,11.25,27.129,68.0413,0.3674,604.3455,3.2641
129,600801,华新水泥,11.22,8.8,29.7555,139.8424,0.4258,1587.5601,4.8342
130,600477,杭萧钢构,11.2,4.86,16.3126,53.747,0.3473,1105.1201,7.142
131,600246,万通地产,11.19,4.97,23.5412,43.6202,0.4741,876.7815,9.5302
132,600756,浪潮软件,11.18,12.85,37.9413,47.8637,0.2896,372.3092,2.2534
133,000932,*ST华菱,11.16,4.34,9.8488,700.8966,0.397,16134.7076,9.1395
134,600900,长江电力,11.15,50.86,76.4774,2369.4471,0.3016,4658.4784,0.5929
135,000709,河钢股份,11.03,5.61,14.9243,861.8756,0.4408,15358.685,7.8561
136,000422,湖北宜化,10.93,8.47,20.6081,101.3247,0.4737,1195.3294,5.5887
137,600367,红星发展,10.91,13.38,42.8769,89.1455,0.3061,665.8722,2.2866
138,600525,长园集团,10.89,15.82,46.0557,36.7382,0.369,232.1915,2.3326
139,600439,瑞贝卡,10.84,8.33,19.2213,46.328,0.4679,555.6592,5.6127
