,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,601336,新华保险,0.48,,,,,57700.0,,,11-22
1,601633,长城汽车,,,,,,86990.09,,,09-27
2,300259,新天科技,0.23,,,,-0.17,1281.24,,,08-29
3,300254,仟源医药,0.26,,,21.02,-0.15,2598.29,,,08-18
4,300257,开山股份,0.96,,,,2.06,10323.26,,,08-18
5,300256,星星科技,0.36,,,15.47,-0.44,2138.17,,,08-18
6,300255,常山药业,0.35,,,16.27,0.27,2820.36,,,08-18
7,300253,卫宁健康,0.27,,,,-0.41,1091.16,,,08-17
8,300252,金信诺,0.26,,,12.21,-0.39,2101.46,,,08-17
9,002610,爱康科技,0.18,,,,0.14,2781.43,,,08-12
10,002608,江苏国信,1.33,,,,1.27,14674.29,,,08-09
11,002607,亚夏汽车,0.5,,,,0.34,3329.7,,,08-09
12,601222,林洋能源,0.26,,,13.74,-0.34,5491.46,,,08-05
13,002605,姚记扑克,0.58,,,,0.53,4088.86,,,08-04
14,300249,依米康,0.17,,,,-0.38,986.41,,,08-02
15,300251,光线传媒,0.48,,,24.94,0.52,3953.09,,,08-02
16,300250,初灵信息,0.56,,,28.31,0.25,1680.27,,,08-02
17,300248,新开普,0.02,,,,-0.7,138.39,,,07-28
18,300247,乐金健康,0.25,-13.79,,,0.02,1560.94,-4.94,,07-28
19,002603,以岭药业,0.29,,,12.6,0.0,10590.43,,,07-27
20,002604,龙力生物,0.27,,,,0.83,4116.03,,,07-27
21,300246,宝莱特,0.46,,,,0.53,1387.47,,,07-18
22,002599,盛通股份,0.17,,,,0.89,1688.45,,,07-14
23,601669,中国电建,0.2,,,,,129429.73,,,04-20
24,300226,上海钢联,0.38,,,15.29,,1149.76,,,02-16
25,002554,惠博普,0.19,,2.29,8.84,0.41,1934.75,,,01-31
26,002553,南方轴承,0.27,,2.11,12.88,0.4,1727.73,,,01-31
27,601992,金隅股份,0.26,,3.97,6.43,-1.21,101376.05,,,01-31
28,002552,宝鼎科技,0.43,,3.2,13.91,0.62,3189.19,,,01-31
29,002551,尚荣医疗,0.36,,4.08,9.28,0.7,2227.43,,,01-31
30,300181,佐力药业,0.32,,3.08,10.9,0.61,1910.02,,,01-26
31,300180,华峰超纤,0.39,,2.72,15.62,0.38,4656.19,,,01-26
32,300184,力源信息,0.26,,2.18,12.43,0.76,1276.2,,,01-26
33,300183,东软载波,0.49,,1.61,33.91,0.16,3693.98,,,01-26
34,300182,捷成股份,0.64,,3.54,19.83,0.32,2679.87,,,01-26
