,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,000592,平潭发展,,,,,,2476.3,,,03-25
1,000584,友利控股,,,1.98,,,,,,11-25
2,000593,大通燃气,,,,,,469.75,,,10-28
3,000591,太阳能,,,,,,1344.16,,,07-20
4,600875,东方电气,,,1.79,,,3796.93,,,06-26
5,000050,深天马A,,,,,,1968.47,268.61,,03-31
6,000036,华联控股,,,,,,1666.79,,,06-14
7,000046,泛海控股,,,,,,1882.4,60.08,,05-27
8,000571,新大洲A,,,,,,430.21,,,05-21
9,000567,海德股份,,,,,,868.63,,,05-17
10,000558,莱茵体育,,,,,,1145.4,,,05-07
11,000561,烽火电子,,,,,,2894.11,,,05-05
12,600816,安信信托,,,,,,,,,02-05
13,000560,昆百大A,,,,,,,,,01-07
14,000559,万向钱潮,,,,,,,,,01-07
15,000534,万泽股份,,,,,,590.82,,,01-05
16,000033,*ST新都,,,,,,3453.63,,,12-23
17,000545,金浦钛业,,,,,,564.0,,,12-12
18,600815,*ST厦工,,,1.0,,,3999.82,102.77,,12-06
19,000553,沙隆达A,,,,,,1617.07,,,12-01
20,000525,红太阳,,,,,,837.12,,,10-26
21,000032,深桑达A,,,,,,2528.51,,,10-17
22,600677,航天通信,,,1.26,,,471.61,13.82,,09-25
23,000031,中粮地产,,,,,,,,,09-23
24,000029,深深房A,,,,,,-55803.38,-490.95,,09-10
25,600630,龙头股份,,,1.81,,,,,,08-17
26,600629,华建集团,,,1.54,,,86.04,,,08-14
27,600620,天宸股份,,,3.75,,,,,10送4,08-07
28,600616,金枫酒业,,,3.22,,,,,,08-05
29,600634,富控互动,,,2.18,,,,,,08-05
30,600623,华谊集团,,,3.08,,,,,10送3,08-05
31,000516,国际医学,,,,,,29.52,-55.15,,07-30
32,000517,荣安地产,,,,,,351.56,83.64,,07-30
33,600654,*ST中安,,,3.72,,,,,,07-29
34,600608,*ST沪科,,,1.64,,,696.0,251.65,10送1,07-27
35,000028,国药一致,,,,,,2247.8,61.04,,07-27
36,000514,渝开发,,,,,,945.77,-7.82,,07-06
37,600664,哈药股份,,,1.79,,,,,,06-19
38,600662,强生控股,,,1.77,,,,,,06-08
39,600606,绿地控股,,,1.63,,,1128.56,,,06-05
40,600650,锦江投资,,,6.01,,,,,,05-31
41,000026,飞亚达A,,,,,,1136.12,,,05-26
42,000019,深深宝A,,,1.81,,,1923.81,15.89,,05-07
43,600611,大众交通,,,2.55,,,2308.5,,10送1,05-05
44,600658,电子城,,,2.12,,,,,,05-03
45,000023,深天地A,,,,,,,,,04-29
46,600621,华鑫股份,,,2.15,,,,,,04-18
47,000027,深圳能源,,,,,,,,,04-11
48,600626,申达股份,,,1.62,,,,,,04-10
49,600612,老凤祥,,,2.53,,,,,10派0.8送2,04-10
50,600605,汇通能源,,,1.22,,,2159.69,,,04-10
51,600610,中毅达,,,2.48,,,,,10送2,04-08
52,000016,深康佳A,,,2.23,,,9059.41,31.79,,04-04
53,600622,嘉宝集团,,,2.0,,,1759.87,,10派1,04-03
54,600603,广汇物流,,,4.05,,,799.18,96.65,10送3,03-27
55,000509,华塑控股,,,,,,1409.65,229.87,,03-22
56,600602,云赛智联,,,2.58,,,10304.11,,10派2送1,03-20
57,600618,氯碱化工,,,2.75,,,,,10派1,03-20
58,600604,市北高新,,,2.95,,,10533.84,,10派1送4,03-20
59,000004,国农科技,,,2.49,,,2348.64,192.12,,03-15
60,600644,乐山电力,,,,,,,,,03-14
61,600651,飞乐音响,,,4.83,,,321.43,298.87,10送4,03-13
62,600653,申华控股,,,5.0,,,751.03,347.94,10送7,03-06
63,600628,新世界,,,4.54,,,329.02,,10送1,03-06
64,600652,游久游戏,,,6.78,,,128.16,9454.56,10送10,03-06
65,600601,方正科技,,,3.94,,,309.29,433.27,10送5,03-06
66,600614,鹏起科技,,,2.17,,,1646.8,,10送2,03-03
67,000012,南玻A,,,2.58,,,6069.8,138.06,10派0.7送3,03-02
68,600649,城投控股,,,1.53,,,,,,03-02
69,600633,浙数文化,,,2.9,,,2467.13,,10送1,03-01
70,000011,深物业A,,,2.84,,,16034.59,,10派0.8送3,02-20
71,600637,东方明珠,,,1.71,,,,,,02-08
72,600641,万业企业,,,1.24,,,215.83,,,01-11
73,600619,海立股份,,,2.47,,,3394.11,,10派0.7,01-06
74,600865,百大集团,,,1.66,,,1567.42,97.08,,12-31
75,600894,广日股份,,,,,,8308.2,,,12-31
76,000020,深华发A,,,1.39,,,4017.11,11.65,10派0.3送1,12-31
77,000045,深纺织A,,,,,,1024.83,83.71,,12-31
78,000589,黔轮胎A,,,,,,2105.89,,,12-31
79,600636,*ST爱富,,,1.98,,,,,10派0.4,12-31
80,600674,川投能源,,,1.1,,,2434.02,52.15,,12-31
81,600695,绿庭投资,,,1.44,,,6885.9,,,12-31
82,600844,*ST丹科,,,,,,1655.0,-26.71,,12-31
83,600850,华东电脑,,,,,,,,,12-31
84,600870,厦华电子,,,1.17,,,450.64,-72.87,,12-31
85,000007,全新好,,,2.12,,,1844.24,142.45,10送2,12-31
86,000501,鄂武商A,,,2.46,,,2552.8,103.92,10派0.2送2,12-31
87,000523,广州浪奇,,,,,,1650.3,11.16,,12-31
88,000595,*ST宝实,,,,,,703.19,,,12-31
89,600660,福耀玻璃,,,1.96,,,,,10送5,12-31
90,600679,上海凤凰,,,1.11,,,7828.1,9.83,,12-31
91,600802,福建水泥,,,1.13,,,1858.02,,,12-31
92,600822,上海物贸,,,,,,2061.99,58.42,,12-31
93,600858,银座股份,,,1.81,,,68.8,159.0,,12-31
94,000506,中润资源,,,,,,,,10送0.9转1.1,12-31
95,000531,穗恒运A,,,,,,1108.0,-21.33,,12-31
96,600609,金杯汽车,,,2.09,,,,,,12-31
97,600647,同达创业,,,1.96,,,,,10送4,12-31
98,600665,天地源,,,1.45,,,,,,12-31
99,600686,金龙汽车,,,1.43,,,345.87,,,12-31
100,600807,天业股份,,,2.61,,,,,,12-31
101,600829,人民同泰,,,1.0,,,2108.15,60.82,,12-31
102,600864,哈投股份,,,,,,662.05,-10.9,,12-31
103,600890,中房股份,,,,,,3542.58,,,12-31
104,000043,中航地产,,,,,,2515.88,93.0,,12-31
105,000540,中天金融,,,,,,455.01,,,12-31
106,000586,汇源通信,,,1.06,,,,,,12-31
107,600615,丰华股份,,,2.69,,,,,10送1,12-31
108,600635,大众公用,,,2.14,,,363.52,,10派1.936,12-31
109,600673,东阳光科,,,1.14,,,982.67,1.43,,12-31
110,600694,大商股份,,,1.13,,,,,,12-31
111,600814,杭州解百,,,1.34,,,,,,12-31
112,600841,上柴股份,,,,,,,,,12-31
113,600869,智慧能源,,,,,,235.04,29.55,,12-31
114,000006,深振业A,,,2.61,,,4505.81,139.75,10送3,12-31
115,000521,美菱电器,,,,,,4260.19,77.27,,12-31
116,600640,号百控股,,,3.02,,,,,,12-31
117,600678,四川金顶,,,1.36,,,5892.26,291.76,,12-31
118,600800,天津磁卡,,,1.53,,,,,,12-31
119,600821,津劝业,,,1.32,,,,,,12-31
120,600848,上海临港,,,,,,14.29,-99.59,,12-31
121,600856,中天能源,,,1.01,,,693.6,14.78,,12-31
122,600874,创业环保,,,,,,3495.3,,,12-31
123,000505,*ST珠江,,,1.49,,,5406.44,268.48,,12-31
124,000529,广弘控股,,,,,,2925.95,50.88,,12-31
125,000566,海南海药,,,,,,,,,12-31
126,600645,中源协和,,,2.75,,,,,,12-31
127,600685,中船防务,,,1.0,,,6765.7,,,12-31
128,600806,*ST昆机,,,1.0,,,,,,12-31
