,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300649,杭州园林,0.29,-40.82,3.3,8.97,0.15,1405.29,-40.05,,04-20
1,603985,恒润股份,0.97,54.25,5.93,17.63,1.38,5844.56,54.24,,04-20
2,300650,太龙照明,0.79,23.44,3.88,24.16,0.52,3570.17,24.5,,04-19
3,300643,万通智控,0.24,,,21.5,0.37,3482.4,-10.79,,04-13
4,603505,金石资源,0.19,-5.0,,8.65,0.06,3463.56,-5.71,,04-12
5,603501,韦尔股份,0.31,10.71,,19.86,-0.32,11536.98,17.76,,04-12
6,300647,超频三,0.53,8.16,2.4,24.89,0.78,4773.45,7.46,,04-12
7,603320,迪贝电气,0.35,-20.45,3.77,9.76,1.16,2630.29,-20.19,,04-11
8,300648,星云股份,0.6,46.34,3.45,20.91,0.38,2976.44,59.41,,04-11
9,300645,正元智慧,0.67,-16.25,5.92,12.08,0.07,3344.97,-7.56,,04-10
10,002868,绿康生化,0.87,148.57,2.66,35.25,1.41,7810.46,148.35,,04-10
11,300642,透景生命,1.46,82.5,4.27,40.68,1.44,6577.86,82.7,,04-10
12,002867,周大生,0.88,8.64,,26.49,1.18,35307.61,8.82,,04-10
13,603787,新日股份,0.36,28.57,,10.42,0.71,5515.48,29.54,,04-07
14,300554,三超新材,0.86,13.4,4.85,19.43,0.69,3350.41,13.39,,04-07
15,603232,格尔软件,1.05,14.13,5.36,21.23,0.91,4790.39,13.59,,04-07
16,300514,友讯达,0.44,-34.02,2.61,18.31,-0.37,3229.81,-32.2,,04-06
17,603920,世运电路,0.5,8.7,2.46,21.8,0.7,15693.01,9.07,,04-06
18,603096,新经典,1.3,32.65,,26.12,2.24,13012.31,33.19,,04-06
19,002866,传艺科技,0.58,26.09,2.76,23.8,0.42,6066.5,42.67,,04-06
20,002865,钧达股份,0.51,-17.74,5.6,9.62,1.31,4608.49,-18.01,,04-05
21,300604,长川科技,0.56,,3.19,18.63,0.02,2491.29,2.68,,03-30
22,300640,德艺文创,0.53,9.03,1.64,34.12,0.7,3187.67,9.02,,03-30
23,603081,大丰实业,0.46,17.95,,23.91,0.37,16034.22,17.2,,03-28
24,603803,瑞斯康达,0.66,26.92,3.83,17.96,0.21,23976.88,28.3,,03-28
25,002863,今飞凯达,0.35,0.0,3.1,11.84,1.56,5748.48,-1.19,,03-27
26,002862,实丰文化,0.71,29.09,4.25,18.31,0.94,4277.03,30.19,,03-27
27,603139,康惠制药,0.83,-1.19,,14.59,0.38,6220.52,-0.86,,03-27
28,300641,正丹股份,0.64,166.67,1.89,33.66,0.84,13800.68,164.56,,03-27
29,300638,广和通,0.58,38.1,1.87,33.7,0.77,3491.83,38.42,,03-23
30,002861,瀛通通讯,1.46,-2.67,,29.51,1.69,13455.58,-2.25,,03-23
31,603078,江化微,1.38,-5.95,7.35,20.45,1.92,6193.18,-5.92,,03-23
32,603050,科林电气,0.57,-22.97,5.67,10.42,0.82,5663.97,10.32,,03-22
33,300639,凯普生物,0.97,-4.9,6.13,17.22,0.72,6521.22,2.76,,03-22
34,300637,扬帆新材,0.46,12.2,2.81,17.24,0.81,4175.4,13.12,,03-22
35,603826,坤彩科技,0.37,21.28,1.5,27.85,0.39,10049.04,21.26,,03-21
36,601366,利群股份,0.49,0.0,3.61,14.55,1.08,33816.5,1.27,,03-21
37,603797,联泰环保,0.34,13.33,,8.92,0.95,5417.72,13.04,,03-21
38,002860,星帅尔,0.97,1.04,4.62,23.38,0.95,5838.79,8.26,,03-21
39,300636,同和药业,1.1,,4.11,32.53,1.32,6287.91,60.37,,03-17
40,300633,开立医疗,0.29,-21.62,1.57,21.24,0.16,10587.13,-19.64,,03-16
41,603538,美诺华,0.86,6.17,,13.43,1.48,7702.02,5.9,,03-16
42,300632,光莆股份,0.36,43.95,2.79,13.83,0.69,3111.47,43.95,,03-16
43,603906,龙蟠科技,0.37,-33.93,3.57,10.94,-0.02,5774.34,-30.85,,03-14
44,002858,力盛赛车,0.52,-13.33,4.11,13.46,0.44,2470.95,-12.58,,03-13
45,603586,金麒麟,1.03,14.44,5.31,21.11,2.17,16141.78,13.76,,03-13
46,300635,达安股份,0.82,3.8,4.62,20.83,0.61,5093.88,7.31,,03-13
47,603385,惠达卫浴,0.38,-39.68,,4.37,1.08,8081.62,-40.26,,03-13
48,002859,洁美科技,1.13,52.7,,22.8,1.41,8929.99,60.7,,03-13
49,603303,得邦照明,1.9,12.54,,39.97,1.48,34119.18,12.54,,03-10
50,603041,美思德,0.9,-1.1,,20.74,1.1,6734.04,-1.72,,03-10
51,300631,久吾高科,1.05,-15.22,7.37,15.2,0.92,5029.31,-15.22,,03-09
52,300629,新劲刚,0.44,12.82,3.7,12.53,0.49,2202.36,12.44,,03-09
53,002857,三晖电气,0.64,3.23,3.32,21.42,0.02,3853.79,4.1,,03-08
54,603656,泰禾光电,1.32,3.13,5.5,26.69,1.29,7512.55,3.33,,03-07
55,603833,欧派家居,1.31,27.18,5.17,28.44,1.67,48849.0,26.78,,03-07
56,002774,快意电梯,0.26,-37.85,,17.06,0.29,6584.76,-34.83,,03-06
57,300630,普利制药,0.55,37.5,2.79,21.25,0.63,5070.19,38.28,,03-06
58,300627,华测导航,0.6,15.38,2.5,27.78,0.64,5288.22,70.13,,03-02
59,300628,亿联网络,4.42,64.31,7.9,74.51,4.11,24762.05,64.46,,03-02
60,300626,华瑞股份,0.3,-3.23,3.13,10.11,1.3,2256.12,-2.38,,03-01
61,002855,捷荣技术,0.46,-45.24,4.05,11.99,0.78,8237.35,-45.81,,02-28
62,603960,克来机电,0.51,8.51,3.3,16.74,0.22,3062.48,8.11,,02-28
63,603133,碳元科技,0.35,-63.54,,12.05,0.56,5449.56,-63.43,,02-28
64,300625,三雄极光,0.86,2.38,3.37,29.81,1.67,18143.84,6.25,,02-27
65,002856,美芝股份,0.61,12.96,,17.19,0.12,4665.44,14.7,,02-27
66,603179,新泉股份,0.44,10.0,4.07,11.39,0.7,5256.9,10.7,,02-27
67,603517,绝味食品,0.84,27.27,,28.43,0.6,30081.61,27.28,,02-27
68,603811,诚意药业,0.9,7.14,4.07,23.82,1.28,5770.51,7.15,,02-23
69,603991,至正股份,0.6,-17.81,3.74,17.54,-0.18,3366.22,11.9,,02-22
70,300623,捷捷微电,1.15,4.55,5.97,20.58,1.54,8071.58,4.52,,02-22
71,300622,博士眼镜,0.55,3.77,3.63,15.3,0.75,3529.26,4.07,,02-22
72,002853,皮阿诺,1.47,-2.0,6.7,24.7,2.76,6852.81,6.75,,02-22
73,603903,中持股份,0.6,9.09,,12.92,-0.06,4532.71,16.48,,02-22
74,603630,拉芳家化,1.09,13.54,5.28,22.68,0.83,14282.77,13.31,,02-21
75,603665,康隆达,0.83,25.76,,19.69,1.77,6261.42,26.33,,02-21
76,603908,牧高笛,1.08,54.29,,34.66,1.49,5424.3,54.7,,02-21
77,300621,维业股份,0.37,-27.45,3.83,11.74,-0.83,3645.99,-20.84,,02-21
78,300620,光库科技,0.48,,2.23,25.05,0.48,3051.3,24.87,,02-21
79,002852,道道全,2.44,26.42,,48.4,4.33,18294.83,26.57,,02-20
80,300618,寒锐钴业,0.32,-5.88,3.2,10.9,1.03,2838.99,-5.91,,02-14
81,603178,圣龙股份,0.46,-2.13,2.26,22.51,0.62,6869.53,3.64,,02-14
82,002851,麦格米特,0.42,50.12,4.36,10.25,0.1,5657.94,50.13,,02-14
83,603138,海量数据,0.59,12.64,2.11,31.59,0.75,3616.38,15.46,,02-13
84,603388,元成股份,0.65,-7.14,4.78,14.64,0.14,4885.75,-7.18,,02-13
85,300617,安靠智电,1.28,26.73,6.4,22.15,1.58,6377.74,26.0,,02-13
86,603768,常青股份,0.5,-13.79,3.91,13.81,0.67,7717.32,-12.61,,02-13
87,300616,尚品宅配,1.72,6.83,7.54,25.79,5.62,13953.45,7.23,,02-13
88,603578,三星新材,0.57,9.62,,17.87,0.6,3772.46,9.55,10派3,02-13
89,300619,金银河,0.43,-10.42,2.98,15.16,-0.08,2394.07,-11.37,,02-13
90,002850,科达利,1.47,110.0,,26.81,1.21,15448.54,113.01,,02-13
