,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,000050,深天马A,,,,,,534.03,,,03-31
1,000046,泛海控股,,,,,,1175.9,53.67,,05-27
2,000033,*ST新都,,,,,,,,,12-23
3,600815,*ST厦工,,,1.0,,,1972.55,103.83,,12-06
4,000031,中粮地产,,,,,,,,,09-23
5,000029,深深房A,,,,,,14273.71,53.9,,09-10
6,000517,荣安地产,,,,,,191.44,2.75,,07-30
7,000516,国际医学,,,,,,65.82,-10.63,,07-30
8,000028,国药一致,,,,,,1395.83,96.09,,07-27
9,000514,渝开发,,,,,,1026.02,34.88,,07-06
10,000026,飞亚达A,,,,,,,,,05-26
11,000023,深天地A,,,,,,,,,04-29
12,000027,深圳能源,,,,,,,,,04-11
13,000018,神州长城,,,1.31,,,968.0,,,06-12
14,000014,沙河股份,,,,,,542.22,,,05-30
15,000020,深华发A,,,,,,3597.81,,,04-22
16,000016,深康佳A,,,2.11,,,6874.01,,,03-24
17,600603,广汇物流,,,3.8,,,406.4,230.07,,02-24
18,600651,飞乐音响,,,4.5,,,80.59,64.94,,12-31
19,600679,上海凤凰,,,,,,7127.4,28.91,,12-31
20,600837,海通证券,,,,,,,,,12-31
21,600864,哈投股份,,,,,,743.04,-0.87,,12-31
22,000012,南玻A,,,1.18,,,2549.69,,,12-31
23,000040,东旭蓝天,,,,,,2424.63,22.97,,12-31
24,600665,天地源,,,,,,458.49,-7.79,,12-31
25,600847,*ST万里,,,,,,839.57,56.05,,12-31
26,600869,智慧能源,,,,,,181.43,,,12-31
27,000019,深深宝A,,,1.53,,,1659.96,69.81,,12-31
28,000049,德赛电池,,,,,,,,,12-31
29,000538,云南白药,,,,,,399.26,-44.5,,12-31
30,600601,方正科技,,,1.63,,,58.0,13.81,10派1.03,12-31
31,600673,东阳光科,,,,,,968.81,1.65,,12-31
32,600826,兰生股份,,,,,,6298.95,91.47,,12-31
33,600855,航天长峰,,,,,,610.69,,,12-31
34,000001,平安银行,,,6.41,,,11265.0,58.94,10派2送5,12-31
35,000505,*ST珠江,,,,,,1467.23,,,12-31
36,600635,大众公用,,,2.09,,,,,,12-31
37,600678,四川金顶,,,,,,1504.06,10.02,,12-31
38,600836,界龙实业,,,,,,492.83,24.72,,12-31
39,600863,内蒙华电,,,0.87,,,1314.04,121.6,,12-31
40,000009,中国宝安,,,1.36,,,8013.61,,,12-31
41,600655,豫园商城,,,1.8,,,680.55,29.06,,12-31
42,600809,山西汾酒,,,,,,,,,12-31
43,600846,同济科技,,,,,,482.0,13.57,,12-31
44,600868,梅雁吉祥,,,,,,393.99,,,12-31
45,000048,康达尔,,,,,,777.81,,,12-31
46,000531,穗恒运A,,,,,,1408.37,529.0,,12-31
47,600671,天目药业,,,,,,414.96,28.2,,12-31
48,600825,新华传媒,,,,,,60.87,-81.7,,12-31
49,600854,春兰股份,,,,,,4592.8,336.79,,12-31
50,600873,梅花生物,,,1.01,,,,,,12-31
51,000504,*ST生物,,,,,,1269.0,,,12-31
52,600608,*ST沪科,,,1.0,,,197.93,11.75,,12-31
53,600677,航天通信,,,,,,414.34,-46.51,,12-31
54,600835,上海机电,,,,,,5895.0,-12.89,,12-31
55,600861,北京城乡,,,1.65,,,108.24,-3.63,,12-31
56,000008,神州高铁,,,,,,449.15,,,12-31
57,600654,*ST中安,,,1.16,,,176.45,319.66,,12-31
58,600808,马钢股份,,,,,,14771.2,8.42,,12-31
59,600845,宝信软件,,,,,,3608.3,,,12-31
60,600675,中华企业,,,,,,361.94,6.9,,12-31
61,600829,人民同泰,,,1.0,,,1310.87,37.86,,12-31
62,600858,银座股份,,,,,,26.56,-1.45,,12-31
63,000006,深振业A,,,2.15,,,1879.39,175.51,,12-31
64,000510,金路集团,,,0.01,,,361.63,-22.11,,12-31
65,600652,游久游戏,,,4.9,,,1.34,-64.65,,12-31
66,600690,青岛海尔,,,1.21,,,5472.45,39.5,,12-31
67,600841,上柴股份,,,,,,,,,12-31
68,600865,百大集团,,,,,,795.3,,,12-31
69,000043,中航地产,,,,,,1303.58,,,12-31
70,000521,美菱电器,,,,,,2403.28,18.32,,12-31
71,600666,奥瑞德,,,,,,1054.91,43.28,,12-31
72,600819,耀皮玻璃,,,,,,4126.8,30.96,,12-31
73,600848,上海临港,,,,,,3445.2,123.53,,12-31
74,600870,厦华电子,,,1.17,,,1660.82,,,12-31
75,000563,陕国投A,,,,,,10.24,-81.6,,12-31
76,600602,云赛智联,,,2.52,,,,,10派100,12-31
77,600674,川投能源,,,,,,1599.74,1.45,,12-31
78,600827,百联股份,,,,,,2134.88,-8.01,,12-31
79,600856,中天能源,,,,,,604.3,45.79,,12-31
80,000004,国农科技,,,2.09,,,804.0,,10送2,12-31
81,000509,华塑控股,,,,,,427.34,151.39,,12-31
82,600651,飞乐音响,,,4.5,,,80.59,64.94,,12-31
83,600679,上海凤凰,,,,,,7127.4,28.91,,12-31
84,600837,海通证券,,,,,,,,,12-31
85,600864,哈投股份,,,,,,743.04,-0.87,,12-31
86,000012,南玻A,,,1.18,,,2549.69,,,12-31
87,000040,东旭蓝天,,,,,,2424.63,22.97,,12-31
88,600665,天地源,,,,,,458.49,-7.79,,12-31
89,600847,*ST万里,,,,,,839.57,56.05,,12-31
90,600869,智慧能源,,,,,,181.43,,,12-31
91,000019,深深宝A,,,1.53,,,1659.96,69.81,,12-31
92,000049,德赛电池,,,,,,,,,12-31
93,000538,云南白药,,,,,,399.26,-44.5,,12-31
94,600601,方正科技,,,1.63,,,58.0,13.81,10派1.03,12-31
95,600673,东阳光科,,,,,,968.81,1.65,,12-31
96,600826,兰生股份,,,,,,6298.95,91.47,,12-31
97,600855,航天长峰,,,,,,610.69,,,12-31
98,000001,平安银行,,,6.41,,,11265.0,58.94,10派2送5,12-31
99,000505,*ST珠江,,,,,,1467.23,,,12-31
100,600635,大众公用,,,2.09,,,,,,12-31
101,600678,四川金顶,,,,,,1504.06,10.02,,12-31
102,600836,界龙实业,,,,,,492.83,24.72,,12-31
103,600863,内蒙华电,,,0.87,,,1314.04,121.6,,12-31
104,000009,中国宝安,,,1.36,,,8013.61,,,12-31
105,600655,豫园商城,,,1.8,,,680.55,29.06,,12-31
106,600809,山西汾酒,,,,,,,,,12-31
107,600846,同济科技,,,,,,482.0,13.57,,12-31
108,600868,梅雁吉祥,,,,,,393.99,,,12-31
109,000048,康达尔,,,,,,777.81,,,12-31
110,000531,穗恒运A,,,,,,1408.37,529.0,,12-31
