,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300649,杭州园林,0.49,-28.99,3.23,15.46,-0.24,2344.19,-28.82,,04-20
1,603985,恒润股份,0.63,167.36,5.12,12.97,0.93,3789.26,167.4,,04-20
2,300650,太龙照明,0.64,-3.03,2.85,25.17,0.3,2867.65,-3.71,,04-19
3,300643,万通智控,,,,33.7,0.65,3903.66,200.44,,04-13
4,603505,金石资源,0.2,-33.33,,10.08,0.44,3673.5,-31.7,,04-12
5,603501,韦尔股份,0.28,-85.26,,24.52,0.14,9797.2,-23.05,,04-12
6,300647,超频三,0.49,,1.87,30.84,0.43,4441.93,23.34,,04-12
7,603320,迪贝电气,0.44,-18.52,3.42,13.75,1.13,3295.82,-19.25,,04-11
8,300648,星云股份,0.41,,2.28,23.83,-0.23,1867.14,-12.07,,04-11
9,300645,正元智慧,0.8,26.98,5.17,19.87,0.81,3618.46,26.85,,04-10
10,002868,绿康生化,0.35,-5.41,2.12,17.62,0.7,3144.94,-4.61,,04-10
11,300642,透景生命,0.8,,2.91,31.85,0.91,3600.32,59.47,,04-10
12,002867,周大生,0.81,32.79,,27.54,0.31,32444.62,32.62,,04-10
13,603787,新日股份,0.28,-41.67,,9.32,0.86,4257.65,-41.81,,04-07
14,300554,三超新材,0.76,,3.99,24.93,0.33,2954.77,30.78,,04-07
15,603232,格尔软件,0.92,2.22,4.41,22.77,0.69,4217.24,4.52,,04-07
16,300514,友讯达,0.66,,2.18,35.78,0.45,4763.61,70.32,,04-06
17,603920,世运电路,0.46,12.2,2.34,21.38,0.87,14388.08,12.85,,04-06
18,603096,新经典,0.98,,,24.56,0.06,9769.4,61.65,,04-06
19,002866,传艺科技,0.46,,1.94,26.82,0.24,4252.15,51.12,,04-06
20,002865,钧达股份,0.62,3.33,5.09,13.09,1.55,5621.09,3.31,,04-05
21,300604,长川科技,,,,46.88,,2426.22,144.5,,03-30
22,300640,德艺文创,0.49,47.67,1.44,34.45,0.33,2923.87,47.81,,03-30
23,603081,大丰实业,0.39,8.33,,23.58,0.18,13681.66,7.94,,03-28
24,603803,瑞斯康达,0.52,36.84,5.72,15.57,0.44,18687.65,34.46,,03-28
25,002863,今飞凯达,0.35,-5.41,2.76,13.58,0.67,5817.81,-5.02,,03-27
26,002862,实丰文化,0.55,,3.54,16.78,1.29,3285.16,1.42,,03-27
27,603139,康惠制药,0.84,9.09,,17.24,0.3,6274.19,12.4,,03-27
28,300641,正丹股份,0.24,166.67,1.58,16.56,0.3,5216.46,173.98,,03-27
29,300638,广和通,0.42,,1.46,46.73,0.81,2522.57,269.56,,03-23
30,002861,瀛通通讯,1.5,36.36,,37.08,1.2,13765.78,41.09,,03-23
31,603078,江化微,1.46,232.5,6.38,25.46,1.38,6583.14,241.32,,03-23
32,603050,科林电气,0.74,-24.49,5.2,13.55,-0.02,5134.15,-11.07,,03-22
33,300639,凯普生物,1.02,108.16,5.11,27.86,0.51,6345.91,117.55,,03-22
34,300637,扬帆新材,0.41,95.24,2.56,17.13,0.65,3691.04,94.27,,03-22
35,603826,坤彩科技,0.31,13.67,1.17,30.09,0.33,8287.37,12.85,,03-21
36,601366,利群股份,0.49,0.0,3.26,15.91,0.77,33391.8,0.42,,03-21
37,603797,联泰环保,0.3,11.11,,8.62,0.94,4792.54,10.89,,03-21
38,002860,星帅尔,0.96,50.0,3.82,28.0,0.75,5393.11,49.71,,03-21
39,300636,同和药业,,,,39.84,,3920.84,132.23,,03-17
40,300633,开立医疗,0.37,,1.24,31.52,0.32,13175.25,86.49,,03-16
41,603538,美诺华,0.81,5.19,,14.54,0.84,7273.01,5.4,,03-16
42,300632,光莆股份,0.25,-14.17,2.4,10.96,0.39,2161.42,-14.5,,03-16
43,603906,龙蟠科技,0.56,,3.2,18.33,0.33,8350.54,30.71,,03-14
44,002858,力盛赛车,0.6,9.09,3.69,17.34,0.58,2826.4,12.76,,03-13
45,603586,金麒麟,0.9,-2.17,4.48,21.81,1.28,14189.33,4.46,,03-13
46,300635,达安股份,0.79,3.95,3.62,24.01,-0.69,4746.79,10.71,,03-13
47,603385,惠达卫浴,0.63,40.0,,7.48,1.0,13528.32,44.58,,03-13
48,002859,洁美科技,0.74,32.14,,20.34,0.78,5556.89,32.87,,03-13
49,603303,得邦照明,1.68,71.46,,54.82,1.9,30317.89,71.46,,03-10
50,603041,美思德,0.91,4.6,,23.93,0.91,6851.71,4.73,,03-10
51,300631,久吾高科,1.23,-13.28,6.42,21.12,-0.28,5931.95,-13.28,,03-09
52,300629,新劲刚,0.39,-30.36,3.29,12.64,0.94,1958.69,-30.05,,03-09
53,002857,三晖电气,0.62,34.78,2.68,25.6,0.9,3701.96,34.85,,03-08
54,603656,泰禾光电,1.28,23.08,4.37,33.67,0.99,7270.22,22.92,,03-07
55,603833,欧派家居,1.03,,4.18,28.12,2.43,38531.64,60.89,,03-07
56,002774,快意电梯,0.42,23.18,,28.4,0.34,10104.63,25.21,,03-06
57,300630,普利制药,0.4,48.15,2.42,17.46,0.62,3666.52,47.9,,03-06
58,300627,华测导航,0.52,-230.0,2.14,30.64,-0.05,3108.31,-308.34,,03-02
59,300628,亿联网络,2.69,50.28,4.47,59.41,2.33,15057.0,50.43,,03-02
60,300626,华瑞股份,0.31,0.0,2.83,11.75,1.05,2311.03,-0.66,,03-01
61,002855,捷荣技术,0.84,,3.59,26.73,0.69,15199.78,31.75,,02-28
62,603960,克来机电,0.47,-18.97,2.79,18.04,0.18,2832.78,-18.32,,02-28
63,603133,碳元科技,0.96,50.0,,38.51,0.73,14901.29,48.33,,02-28
64,603517,绝味食品,0.66,22.22,,27.04,1.18,23633.82,22.57,,02-27
65,300625,三雄极光,0.84,35.48,8.15,39.17,1.99,17076.45,35.08,,02-27
66,002856,美芝股份,0.54,-15.63,,17.14,-1.41,4067.54,-15.91,,02-27
67,603179,新泉股份,0.4,25.0,3.68,11.41,0.48,4748.73,22.82,,02-27
68,603811,诚意药业,0.84,47.37,3.86,24.17,1.32,5385.38,47.55,,02-23
69,603903,中持股份,0.55,41.03,,16.07,0.65,3891.34,46.88,,02-22
70,603991,至正股份,0.73,35.19,3.13,42.47,0.44,3008.15,43.57,,02-22
71,300623,捷捷微电,1.1,15.79,5.32,22.37,1.3,7722.44,16.59,,02-22
72,300622,博士眼镜,0.53,3.92,3.7,14.97,0.89,3391.24,3.12,,02-22
73,002853,皮阿诺,1.5,,5.23,41.54,0.81,6419.26,16.73,,02-22
74,603908,牧高笛,0.7,-23.91,,25.72,0.2,3506.34,-23.75,,02-21
75,300621,维业股份,0.51,-16.39,3.14,17.64,-1.61,4605.87,-16.45,,02-21
76,300620,光库科技,,,2.32,51.77,0.54,2443.58,19.52,,02-21
77,603630,拉芳家化,0.96,31.51,4.38,24.69,0.6,12605.52,32.16,,02-21
78,603665,康隆达,0.66,3.13,,19.74,1.29,4956.54,3.7,,02-21
79,002852,道道全,1.93,,,58.03,1.25,14454.11,179.8,,02-20
80,002851,麦格米特,0.28,59.38,3.93,7.47,-0.7,3768.69,59.38,,02-14
81,300618,寒锐钴业,0.34,100.0,2.73,13.01,0.67,3017.19,93.14,,02-14
82,603178,圣龙股份,0.47,56.67,1.82,27.67,0.74,6628.02,55.41,,02-14
83,603768,常青股份,0.58,-27.5,3.4,18.33,1.22,8830.89,-27.9,,02-13
84,300616,尚品宅配,1.61,11.81,5.82,32.03,5.14,13012.99,11.39,,02-13
85,603578,三星新材,0.52,0.0,,17.73,0.69,3443.7,0.94,,02-13
86,300619,金银河,0.48,-11.11,2.66,19.57,0.45,2701.16,-3.18,,02-13
87,002850,科达利,0.7,11.11,,16.02,-0.13,7252.36,18.23,,02-13
88,603388,元成股份,0.7,-2.78,4.13,18.59,-0.82,5263.41,7.83,,02-13
89,603138,海量数据,0.52,,1.73,35.0,0.19,3132.17,61.48,,02-13
90,300617,安靠智电,1.01,-21.71,5.12,21.18,1.6,5061.79,-21.44,,02-13
91,300613,富瀚微,1.24,29.17,3.21,46.85,0.95,3780.62,30.75,,02-06
92,603238,诺邦股份,0.64,45.45,2.8,26.21,0.79,5790.06,46.68,,01-26
93,300615,欣天科技,1.41,62.07,2.71,55.94,1.32,8430.62,61.33,,01-25
94,300612,宣亚国际,0.16,-42.86,1.62,8.83,1.15,814.2,-35.04,,01-25
95,300611,美力科技,0.68,25.93,4.01,19.16,0.48,3746.65,36.75,,01-25
96,603345,安井食品,0.8,25.0,4.31,20.56,1.81,13029.12,25.2,,01-24
97,603817,海峡环保,0.28,,2.21,15.23,0.23,9307.2,16.57,,01-23
98,603955,大千生态,0.98,12.26,9.54,11.14,-1.45,6089.63,33.32,,01-23
99,603330,上海天洋,0.86,17.81,5.75,16.14,0.43,3861.62,17.2,,01-23
100,002849,威星智能,0.67,21.82,3.05,24.12,0.33,3056.51,29.16,,01-23
101,300608,思特奇,1.04,15.56,5.54,20.1,-1.05,5101.12,30.08,,01-20
102,603040,新坐标,1.09,32.93,4.6,26.18,1.05,4893.65,32.12,,01-19
103,300607,拓斯达,0.93,40.91,4.53,30.51,0.17,4671.3,44.28,10派1.84,01-19
104,300609,汇纳科技,0.43,22.86,2.27,20.95,0.15,3226.03,22.44,,01-18
105,603615,茶花股份,0.49,-12.48,,14.5,0.37,8844.08,-12.48,,01-17
106,300610,晨化股份,0.55,17.02,3.94,14.8,0.5,4123.82,18.0,,01-17
107,603208,江山欧派,1.0,16.28,4.64,23.59,0.84,6069.63,16.05,,01-16
108,603839,安正时尚,1.07,-9.32,,24.98,1.0,22880.51,-9.19,,01-16
109,002848,高斯贝尔,0.25,-45.71,,6.43,0.47,3134.32,-45.71,,01-16
110,603677,奇精机械,1.03,-18.25,5.33,21.39,1.84,6176.64,-2.34,,01-16
111,603626,科森科技,0.28,,2.77,21.12,0.22,4497.63,5.49,,01-13
112,603637,镇海股份,0.74,25.42,3.8,20.81,0.91,5681.6,24.69,,01-12
113,300601,康泰生物,,,1.58,6.32,0.3,3116.26,1962.96,,01-12
114,300578,会畅通讯,0.72,4.35,2.52,29.95,0.81,3863.99,4.15,,01-12
115,300605,恒锋信息,0.51,,2.52,23.34,-0.19,3055.14,15.7,,01-12
116,002847,盐津铺子,0.52,-35.8,1.97,29.48,0.66,4834.89,5.31,,01-10
117,002846,英联股份,0.49,6.52,2.36,22.53,0.41,4406.89,5.67,,01-10
118,603429,集友股份,0.77,11.16,2.61,34.59,1.06,3920.63,11.16,,01-10
119,300606,金太阳,0.43,-6.98,2.58,18.41,0.34,2907.15,1.76,,01-10
120,300606,金太阳,0.43,-6.98,2.58,18.41,0.34,2907.15,1.76,,01-10
121,603360,百傲化学,0.64,30.61,3.03,21.83,0.6,6403.23,30.89,,01-09
122,300598,诚迈科技,0.51,2.0,3.17,17.65,-0.09,3054.97,1.67,,01-09
123,300603,立昂技术,0.21,-56.25,,8.32,0.08,1644.94,-54.95,,01-09
124,603881,数据港,0.38,90.0,,27.78,0.7,5908.67,77.48,,01-09
125,300602,飞荣达,,,4.66,27.18,0.52,8392.09,66.62,,01-09
126,300600,瑞特股份,0.9,60.71,4.11,24.46,0.86,6722.16,59.61,,01-06
127,603089,正裕工业,0.76,1.33,,19.66,0.95,6052.25,1.32,,01-06
