,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,603225,新凤鸣,,,,,,15881.5,,,09-03
1,603299,井神股份,,,,,,10591.69,,,07-11
2,601968,宝钢包装,,,,,,8769.37,,,04-23
3,000166,申万宏源,0.15,,,6.04,,103179.01,,,04-09
4,002797,第一创业,,,,,,15493.45,,,03-01
5,002736,国信证券,,,,,,150421.4,,,02-28
6,300388,国祯环保,,,,,,4423.71,17.29,,01-25
7,601997,贵阳银行,0.71,,,,,127960.27,,,12-25
8,300567,精测电子,,,,,,2256.32,,,11-05
9,002703,浙江世宝,0.24,,2.58,9.49,0.07,6270.1,,,11-01
10,600158,中体产业,0.05,-3.17,1.5,3.24,-0.15,4122.4,-3.23,,10-31
11,600960,渤海活塞,0.21,-53.93,5.61,3.8,1.8,3421.73,-53.92,,10-31
12,000546,金圆股份,0.06,41.36,0.91,7.34,0.18,1094.22,41.25,,10-31
13,000997,新大陆,0.14,7.69,2.82,5.01,-0.06,7029.65,7.36,,10-31
14,000609,绵石投资,0.07,-86.13,3.36,2.12,0.55,2142.72,-86.13,,10-31
15,601166,兴业银行,2.44,40.23,12.78,20.78,6.02,2634100.0,40.2,,10-31
16,000629,*ST钒钛,0.09,7275.0,1.8,5.59,0.01,75990.71,11040.81,,10-31
17,600641,万业企业,0.01,-91.28,2.97,0.39,0.39,955.58,-91.31,,10-31
18,000659,*ST中富,0.01,-88.89,1.8,0.54,0.26,1254.03,-88.84,,10-31
19,600285,羚锐制药,0.16,23.48,3.41,4.85,-0.18,3268.32,23.14,,10-31
20,600305,恒顺醋业,0.08,489.15,3.38,2.25,0.77,964.53,489.17,,10-31
21,600695,绿庭投资,-0.15,-350.0,0.47,-47.89,-0.11,-9881.73,-348.43,,10-31
22,600322,天房发展,0.13,-35.0,3.88,3.4,0.17,14479.23,-35.98,,10-31
23,600713,南京医药,0.0,-50.0,1.38,0.11,-0.22,101.55,-17.61,,10-31
24,600745,中茵股份,0.23,-45.24,2.35,10.13,0.19,7426.87,-45.69,,10-31
25,000815,美利云,-0.26,-18.75,1.76,-14.02,-0.33,-8392.95,-17.0,,10-31
26,600068,葛洲坝,0.36,-2.44,3.5,10.72,-0.68,125524.57,-2.57,,10-31
27,600833,第一医药,0.12,-0.33,2.19,5.82,0.16,2656.96,-0.32,,10-31
28,600869,智慧能源,-0.08,-110.53,2.69,-2.52,0.53,-7477.03,-122.92,,10-31
29,600145,*ST新亿,0.03,5880.0,0.54,0.17,-0.08,1129.72,6034.11,,10-31
30,600576,万家文化,-0.16,50.96,2.39,-6.31,-0.3,-3414.59,50.36,,10-31
31,000571,新大洲A,0.16,3.85,1.86,8.7,0.2,11507.09,3.86,,10-31
