,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,000662,天夏智慧,,,1.51,,,514.25,,,06-28
1,000417,合肥百货,,,2.6,,,1328.57,,,04-23
2,000697,炼石有色,,,2.52,,,,,,03-20
3,000686,东北证券,,,,,,870.2,,,02-25
4,600787,中储股份,,,,,,441.57,,,01-16
5,600784,鲁银投资,,,4.95,,,1246.62,,,12-21
6,600782,新钢股份,,,1.0,,,1319.83,,,12-21
7,600781,辅仁药业,,,1.75,,,819.39,,,12-16
8,000682,东方电子,,,,,,719.62,,,12-12
9,000661,长春高新,,,3.68,,,2131.61,,,12-12
10,000666,经纬纺机,,,,,,3558.7,,,12-06
11,000650,仁和药业,,,,,,822.0,,,12-06
12,000663,永安林业,,,,,,851.9,,,12-04
13,000669,金鸿能源,,,,,,752.08,,,12-03
14,000657,中钨高新,,,1.61,,,905.16,,,12-02
15,000659,*ST中富,,,,,,3153.8,,,11-28
16,000656,金科股份,,,1.36,,,1464.5,,,11-26
17,000638,万方发展,,,,,,1232.0,,,11-23
18,600776,东方通信,,,1.99,,,17079.23,,,11-22
19,000626,远大控股,,,1.68,,,400.59,,,11-20
20,000631,顺发恒业,,,2.96,,,1348.96,,,11-19
21,600770,综艺股份,,,2.39,,,805.56,,,11-18
22,000670,盈方微,,,2.96,,,1773.78,,,11-17
23,000630,铜陵有色,,,,,,1798.89,,,11-15
24,600775,南京熊猫,,,2.39,,,9047.23,,,11-14
25,000651,格力电器,,,,,,13118.17,,,11-14
26,600778,友好集团,,,1.99,,,796.1,,,11-14
27,000629,*ST钒钛,,,1.08,,,4275.25,,,11-13
28,600767,*ST运盛,,,,,,,,,11-12
29,000633,*ST合金,,,1.3,,,532.95,,,11-08
30,000622,恒立实业,,,1.32,,,800.41,,,11-06
31,000616,海航投资,,,1.91,,,555.33,,,11-05
32,600774,汉商集团,,,3.75,,,1885.52,,,11-05
33,600773,西藏城投,,,1.7,,,744.96,,,11-04
34,600771,广誉远,,,,,,1065.37,,,10-31
35,000620,新华联,,,,,,2155.95,,,10-26
36,600758,红阳能源,,,3.48,,,1350.6,,,10-26
37,600768,宁波富邦,,,1.43,,,975.65,,,10-24
38,000623,吉林敖东,,,2.34,,,2490.77,,,10-24
39,600766,园城黄金,,,1.5,,,482.4,,,10-23
40,000617,中油资本,,,,,,,,,10-18
41,000615,京汉股份,,,2.01,,,1567.85,,,10-14
42,600749,西藏旅游,,,1.23,,,192.15,,,10-12
43,000611,*ST天首,,,,,,1294.04,,,10-04
44,000613,*ST东海A,,,,,,,,,10-04
45,600759,洲际油气,,,3.3,,,2385.65,,,10-04
46,000606,神州易桥,,,1.0,,,442.54,,,09-28
47,000610,西安旅游,,,,,,867.99,,,09-24
48,000612,焦作万方,,,,,,2223.3,,,09-23
49,600748,上实发展,,,1.4,,,5281.93,,,09-21
50,000608,阳光股份,,,1.42,,,620.14,,,09-16
51,600746,江苏索普,,,1.75,,,,,,09-14
52,000605,渤海股份,,,,,,632.1,,,09-11
53,000636,风华高科,,,,,,1306.46,,,09-04
54,600744,华银电力,,,3.6,,,5207.81,,,09-03
55,000033,*ST新都,,,1.7,,,504.68,-75.76,,08-31
56,600745,中茵股份,,,1.84,,,1000.71,,,08-31
57,600885,宏发股份,,,3.07,,,432.38,,,08-31
58,000558,莱茵体育,,,2.3,,,145.61,-84.23,,08-31
59,000603,盛达矿业,,,1.98,,,800.55,,,08-31
60,000531,穗恒运A,,,1.72,,,1495.4,-31.92,,08-31
61,000537,广宇发展,,,1.93,,,471.66,-45.05,,08-31
62,000030,富奥股份,,,2.51,,,2365.92,-31.59,,08-31
63,600847,*ST万里,,,2.33,,,-745.6,-202.78,,08-31
64,000428,华天酒店,,,2.16,,,1300.09,,10转8,08-31
65,000503,海虹控股,,,1.85,,,14.38,-98.81,,08-31
66,000017,深中华A,,,2.77,,,857.72,-88.17,,08-31
67,000009,中国宝安,,,2.5,,,4553.48,-60.34,,08-31
68,000046,泛海控股,,,2.85,,,1305.01,38.5,10转5,08-31
69,600745,中茵股份,,,1.84,,,1000.71,,,08-31
70,000033,*ST新都,,,1.7,,,504.68,-75.76,,08-31
71,600885,宏发股份,,,3.07,,,432.38,,,08-31
72,000558,莱茵体育,,,2.3,,,145.61,-84.23,,08-31
73,000603,盛达矿业,,,1.98,,,800.55,,,08-31
74,000037,深南电A,,,2.86,,,2394.99,1209.85,,08-31
75,000587,金洲慈航,,,1.47,,,1010.0,,,08-30
76,600697,欧亚集团,,,2.13,,,867.33,0.18,,08-30
77,000025,特力A,,,2.07,,,-863.0,-185.7,,08-30
78,000409,山东地矿,,,3.34,,,1525.82,,,08-30
79,600630,龙头股份,,,1.58,,,-1758.11,-249.11,,08-30
80,000555,神州信息,,,1.6,,,-115.27,-203.04,,08-30
81,600703,三安光电,,,3.78,,,690.51,,10转3,08-30
82,000586,汇源通信,,,2.65,,,2414.96,,,08-30
83,600730,中国高科,,,1.4,,,468.91,,,08-30
84,000018,神州长城,,,1.87,,,419.68,-32.19,,08-30
85,000592,平潭发展,,,2.71,,,3018.52,,10转3,08-30
86,600817,*ST宏盛,,,1.54,,,403.77,65.51,,08-30
87,000005,世纪星源,,,2.51,,,2559.76,11.24,,08-30
88,000023,深天地A,,,2.12,,,-860.51,-152.68,,08-30
89,600685,中船防务,,,2.73,,,3229.5,-47.28,,08-30
90,600702,沱牌舍得,,,3.52,,,5957.38,,10转10,08-30
91,600827,百联股份,,,3.0,,,2656.64,68.58,,08-30
92,600864,哈投股份,,,2.44,,,1121.11,5.07,,08-30
93,600869,智慧能源,,,1.84,,,1373.24,18.51,,08-30
94,600665,天地源,,,1.66,,,2870.79,6.37,,08-30
95,000540,中天金融,,,2.1,,,39.15,-95.83,,08-30
96,000584,友利控股,,,3.35,,,877.79,-33.37,,08-30
97,600723,首商股份,,,1.58,,,2118.82,,,08-30
98,000016,深康佳A,,,3.3,,,14267.5,1.5,,08-30
99,600609,金杯汽车,,,1.5,,,-7913.57,-19.65,,08-30
100,600626,申达股份,,,1.74,,,3.59,-99.72,,08-30
101,000552,靖远煤电,,,1.87,,,520.6,-5.05,,08-30
102,600820,隧道股份,,,2.51,,,2129.43,38.74,,08-30
103,600651,飞乐音响,,,2.0,,,210.01,1.85,,08-30
104,600808,马钢股份,,,1.85,,,3499.6,-12.54,,08-30
105,600862,中航高科,,,2.09,,,41.29,-93.61,,08-30
106,600602,云赛智联,,,2.04,,,371.03,-93.9,,08-30
107,000403,ST生化,,,2.44,,,618.26,,10转6,08-30
108,600624,复旦复华,,,2.83,,,1149.45,-21.36,,08-30
109,000532,华金资本,,,3.33,,,-1235.8,-188.1,,08-30
110,600802,福建水泥,,,1.98,,,1291.78,-56.8,,08-29
111,600836,界龙实业,,,2.6,,,400.65,-60.98,,08-29
112,600613,神奇制药,,,3.34,,,949.6,-4.86,,08-29
113,600710,*ST常林,,,2.7,,,1298.56,,10转2,08-29
114,600606,绿地控股,,,1.69,,,-1818.9,-584.03,,08-29
115,000006,深振业A,,,3.21,,,628.16,-80.68,,08-29
116,000518,四环生物,,,1.46,,,-1343.56,-378.13,,08-29
117,600741,华域汽车,,,1.46,,,717.91,,10转10,08-29
118,600860,*ST京城,,,2.41,,,3377.6,-25.26,10派0.25,08-29
119,600876,洛阳玻璃,,,2.88,,,1667.57,-87.29,,08-29
120,600682,南京新百,,,2.65,,,2260.14,-8.57,,08-29
121,600802,福建水泥,,,1.98,,,1291.78,-56.8,,08-29
122,600836,界龙实业,,,2.6,,,400.65,-60.98,,08-29
123,600613,神奇制药,,,3.34,,,949.6,-4.86,,08-29
124,600710,*ST常林,,,2.7,,,1298.56,,10转2,08-29
125,600606,绿地控股,,,1.69,,,-1818.9,-584.03,,08-29
126,000006,深振业A,,,3.21,,,628.16,-80.68,,08-29
127,000518,四环生物,,,1.46,,,-1343.56,-378.13,,08-29
128,600725,ST云维,,,3.01,,,4952.62,,,08-29
129,600741,华域汽车,,,1.46,,,717.91,,10转10,08-29
130,600860,*ST京城,,,2.41,,,3377.6,-25.26,10派0.25,08-29
131,600876,洛阳玻璃,,,2.88,,,1667.57,-87.29,,08-29
132,000011,深物业A,,,2.54,,,1473.04,-77.97,,08-29
133,000049,德赛电池,,,3.33,,,32.72,-83.19,,08-29
134,000504,*ST生物,,,1.97,,,-948.01,-161.62,,08-29
135,600637,东方明珠,,,1.86,,,436.97,-92.31,,08-29
136,000040,东旭蓝天,,,3.54,,,1766.18,-51.0,,08-29
137,600611,大众交通,,,4.23,,,5595.43,7.95,,08-29
138,000554,泰山石油,,,2.64,,,2594.55,-26.33,,08-29
139,600833,第一医药,,,2.2,,,210.93,-87.08,,08-29
140,600853,龙建股份,,,2.6,,,1315.07,-74.68,,08-29
141,000516,国际医学,,,2.16,,,233.51,-1.44,,08-29
142,600647,同达创业,,,1.24,,,44.92,-84.59,,08-29
143,600706,曲江文旅,,,2.05,,,246.38,,,08-29
144,000413,东旭光电,,,2.4,,,6665.54,,,08-29
145,000502,绿景控股,,,2.23,,,408.82,52.79,,08-29
146,600712,南宁百货,,,3.28,,,2805.82,,,08-29
147,600826,兰生股份,,,2.97,,,4445.38,17.31,10转4,08-29
148,600603,广汇物流,,,3.12,,,1135.39,-14.72,,08-29
149,600658,电子城,,,2.78,,,1010.05,-10.68,,08-29
150,000002,万科A,,,4.29,,,5360.1,-16.48,,08-28
