,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002733,雄韬股份,,,,,,1999.5,27.65,,11-13
1,300567,精测电子,,,,,,261.2,,,11-05
2,601579,会稽山,0.2,,2.53,7.45,,5887.43,,,08-28
3,600959,江苏有线,0.07,,,2.12,,16111.78,,,07-31
4,002831,裕同科技,,,,,,3010.89,,,07-20
5,300339,润和软件,0.21,,4.55,4.76,0.02,1234.22,,,07-17
6,002691,冀凯股份,0.11,,,4.61,0.17,1623.94,,,07-13
7,603111,康尼机电,0.14,,,10.06,-0.01,2941.89,,,07-13
8,002687,乔治白,0.13,,4.45,2.75,-0.34,967.14,,,07-12
9,300336,新文化,0.25,,3.21,8.03,-0.49,1784.92,,,07-09
10,300335,迪森股份,0.14,,2.56,5.49,-0.1,1432.87,,,07-09
11,300334,津膜科技,0.09,,2.46,3.7,-0.53,764.52,,,07-04
12,300593,新雷能,,,,,,-108.0,,,07-02
13,002686,亿利达,0.2,,3.88,5.06,-0.01,1357.94,,,07-02
14,300332,天壕环境,0.04,,1.97,1.97,-0.02,923.3,,,06-27
15,300331,苏大维格,0.12,,3.82,3.18,-0.25,555.82,,,06-27
16,300333,兆日科技,0.28,,2.92,9.99,0.26,2334.25,,,06-27
17,300330,华虹计通,0.11,,2.39,4.63,-0.65,648.29,,,06-18
18,300329,海伦钢琴,0.15,,3.39,4.43,-0.28,737.15,,,06-18
19,300328,宜安科技,0.1,,2.82,3.61,0.06,839.11,,,06-18
20,300327,中颖电子,0.07,,2.47,2.74,-0.31,640.48,,,06-12
21,300326,凯利泰,0.31,,2.77,11.98,0.08,1197.52,,,06-12
22,002684,猛狮科技,0.26,,6.31,4.29,0.27,1053.31,,,06-11
23,002683,宏大爆破,0.13,,2.51,5.1,0.07,2121.0,,,06-11
24,002682,龙洲股份,0.14,,4.74,3.05,0.37,1712.82,,,06-11
25,002685,华东重机,0.0,,1.88,0.1,-0.02,29.49,,,06-11
26,300322,硕贝德,0.12,,2.23,5.47,-0.16,831.69,,,06-07
27,300324,旋极信息,0.18,,3.98,4.61,-0.95,752.63,,,06-07
28,002679,福建金森,-0.05,,1.93,-2.33,-0.72,-469.08,,,06-04
29,002681,奋达科技,0.12,,3.79,3.3,0.08,1385.81,,,06-04
30,002680,长生生物,0.47,,4.0,11.68,0.46,2822.35,,,06-04
31,300320,海达股份,0.23,,5.37,4.28,-0.71,1167.48,,,05-31
32,300325,德威新材,0.16,,5.26,3.04,-0.08,963.32,,,05-31
33,300323,华灿光电,0.18,,4.82,3.88,0.34,2752.08,,,05-31
34,002678,珠江钢琴,0.12,,2.14,6.49,0.0,4989.14,,,05-29
35,002677,浙江美大,0.15,,2.33,6.43,-0.25,2178.13,,,05-24
36,002676,顺威股份,0.2,,3.54,5.83,-0.31,2405.81,,,05-24
37,002675,东诚药业,0.43,,3.78,11.28,0.04,3503.49,,,05-24
38,300321,同大股份,0.27,,7.42,3.75,-1.36,910.31,,,05-22
39,300319,麦捷科技,0.12,,2.95,4.24,-0.27,489.16,,,05-22
40,300315,掌趣科技,0.09,,1.91,4.74,0.03,1088.01,,,05-10
41,300317,珈伟股份,0.17,,2.3,,-0.42,1800.14,,,05-10
42,300316,晶盛机电,0.82,,6.19,,-0.15,8179.26,,,05-10
43,300314,戴维医疗,0.34,,3.08,,0.14,2039.59,,,05-07
44,300312,邦讯技术,0.23,,3.74,6.28,-1.3,1825.5,,,05-07
45,002674,兴业科技,0.14,,3.41,4.19,-0.09,2517.25,,,05-04
46,002673,西部证券,0.06,,3.24,1.78,0.02,5703.59,,,05-02
47,603123,翠微股份,,,,,,3788.7,,,05-02
48,600587,新华医疗,0.26,52.94,6.13,4.34,-0.09,3497.22,53.34,,04-28
49,601001,大同煤业,0.07,-56.25,6.96,1.04,0.05,11188.94,-59.35,,04-28
50,601288,农业银行,0.13,30.0,2.14,6.47,1.37,4345400.0,27.55,,04-28
51,600679,上海凤凰,-0.01,310.0,1.63,-0.75,-0.11,-434.89,303.79,,04-28
52,600305,恒顺醋业,0.04,-45.45,3.38,1.07,-0.32,456.63,-45.98,,04-28
53,600695,绿庭投资,-0.04,133.33,0.32,-12.15,-0.06,-2819.1,127.92,,04-28
54,601928,凤凰传媒,0.11,,3.52,3.18,0.06,28033.14,,,04-28
55,603993,洛阳钼业,0.06,20.0,,,,28143.55,5.5,,04-28
56,600745,中茵股份,-0.04,900.0,2.09,-1.87,-0.12,-1285.63,830.1,,04-28
57,600422,昆药集团,0.1,88.48,2.71,3.88,0.05,3239.39,88.46,,04-28
58,600798,宁波海运,-0.04,-172.26,2.34,-2.0,0.1,-3673.41,-172.23,,04-28
59,600068,葛洲坝,0.12,0.83,3.35,3.71,-0.36,42287.94,1.17,,04-28
60,600477,杭萧钢构,0.01,-83.87,1.86,0.27,-0.19,230.58,-80.75,,04-28
61,600833,第一医药,0.04,-20.36,2.01,2.24,0.13,976.25,11.34,,04-28
62,600891,秋林集团,0.06,100.0,2.32,2.59,0.12,1878.05,124.49,,04-28
63,600966,博汇纸业,0.06,-51.24,6.15,0.93,-0.17,2871.81,-51.24,,04-28
64,600576,万家文化,-0.03,-292.31,2.53,-0.99,-0.63,-544.91,-293.78,,04-28
65,600218,全柴动力,0.05,-38.54,3.63,1.36,0.02,1384.35,-38.47,,04-28
66,601600,中国铝业,-0.08,-433.33,3.76,-2.14,-0.15,-108843.9,-428.66,,04-28
67,600291,西水股份,-0.08,-19.35,5.36,-1.46,0.05,-2961.66,-19.36,,04-28
68,600718,东软集团,0.05,150.0,3.85,1.18,-0.54,5534.03,88.99,,04-28
69,600734,实达集团,-0.04,-30.71,0.57,-6.31,-0.04,-1300.68,-30.78,,04-28
70,600008,首创股份,0.02,-30.45,2.48,1.01,-0.06,5468.88,-30.5,,04-28
71,600821,津劝业,0.01,0.0,1.36,0.55,-0.21,309.88,4.18,,04-28
72,600838,上海九百,0.01,-95.9,1.75,0.55,-0.07,383.7,-95.91,,04-28
73,600108,亚盛集团,0.03,65.7,1.62,1.82,0.0,4945.33,65.32,,04-28
74,601012,隆基股份,0.06,,10.01,,0.13,1245.45,-90.59,,04-28
75,600240,华业资本,0.02,-65.84,4.4,0.38,-0.09,1067.95,-65.91,,04-28
76,600635,大众公用,0.03,-13.22,2.32,1.11,-0.05,4213.71,-13.1,,04-28
77,601218,吉鑫科技,0.04,,4.96,0.71,0.47,1573.94,,,04-28
78,600652,游久游戏,0.01,25.0,1.74,0.31,0.4,302.17,28.92,,04-28
79,601398,工商银行,0.18,20.0,2.93,6.2,1.14,6133500.0,14.03,,04-28
80,600279,重庆港九,0.04,-19.93,5.01,0.86,-0.02,1471.82,-19.81,,04-28
81,601788,光大证券,0.1,-37.75,6.46,1.55,0.66,34057.99,-39.53,,04-28
82,601898,中煤能源,0.2,17.65,6.37,3.18,0.23,263709.9,14.64,,04-28
83,600355,精伦电子,-0.05,-600.0,1.88,-2.76,-0.15,-1294.72,-842.37,,04-28
84,600373,中文传媒,0.28,7.69,7.02,4.13,0.03,16080.65,10.1,,04-28
85,600015,华夏银行,0.34,0.0,9.68,3.61,-1.08,235124.83,37.68,,04-28
86,600036,招商银行,0.54,31.71,8.21,6.8,0.13,1164300.0,32.16,,04-28
87,600438,通威股份,-0.1,17.89,1.97,-4.99,0.45,-6928.28,17.92,,04-28
88,600525,长园集团,0.03,-52.57,2.49,1.34,-0.04,2868.43,-9.42,,04-28
89,600175,美都能源,0.01,-66.67,1.59,0.74,0.04,1470.15,-61.07,,04-28
90,600569,安阳钢铁,-0.15,-1793.1,4.26,-3.4,0.27,-35249.9,-1790.73,,04-28
91,600980,北矿科技,-0.06,690.28,1.96,-2.86,-0.12,-739.63,690.49,,04-28
92,600229,城市传媒,-0.08,700.0,3.22,-2.52,0.0,-3253.27,1046.65,,04-28
93,600658,电子城,0.03,-80.0,3.42,0.93,0.23,1822.56,-79.45,,04-28
94,600678,四川金顶,-0.05,-53.18,-2.1,,-0.03,-1821.08,-53.21,,04-28
95,601669,中国电建,0.08,,2.92,2.61,-0.11,72108.48,7.15,,04-28
96,600728,佳都科技,0.01,-35.44,1.06,1.29,-0.11,431.39,-35.38,,04-28
97,600361,华联综超,0.03,-40.0,4.6,0.73,0.13,2227.26,-15.79,,04-28
